"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",-51847.4679551967,-52134.423971531,-55765.4831688576,-54944.5756469272,-55450.3029027085,-54051.9256162007,-57919.595503689,-57642.4202622393,-59275.7020754561,-59270.2925441009,-58130.242388317,-59432.9883423204,-59883.0668384991,-59111.0036947096,-61144.2247335654,-60222.0556963751,-59081.1175827915,-57504.4902751056,-56867.8926054644,-57265.5361157664,-57692.2156905665
"2",-68329.8821272664,-68756.4531933241,-69137.3086705956,-70012.9199290349,-71841.6553902183,-71169.1948684519,-72379.1469821047,-73082.2440879478,-73138.1471777265,-72932.0413249206,-72510.5865350312,-72835.270329555,-71929.1764060845,-70775.1091778099,-70010.7237240913,-71738.0643188477,-70611.1779120917,-70639.0410899657,-69827.4127658131,-71234.735259364,-72430.9108960468
"3",-69161.7417623889,-69329.9195090992,-69873.7929055503,-70809.6430791151,-71317.0841094913,-71903.2908762893,-72367.2334234098,-71553.8928168208,-71621.267176781,-71455.5616924618,-72006.7481560127,-72261.6418198377,-72974.6593540207,-72779.9865287428,-72136.4241661477,-72830.5877225367,-74137.2976406704,-72148.5484541889,-71283.637850114,-71193.5635284995,-71543.0743498222
"4",-61217.9961158379,-63788.1087640566,-64655.143192382,-66260.1171917703,-66936.0932591435,-67568.1940601595,-68445.6712334374,-67994.3146199285,-68098.7313362097,-69598.5940875992,-69783.943697389,-69238.4264371156,-68437.1472127684,-69009.8761150849,-69482.1609670145,-69061.6192547975,-69643.7647091442,-68808.4110564431,-68626.0969979465,-69149.8892490275,-69689.2269737827
"5",-62746.5780435398,-62894.0689932394,-62462.5999882014,-64396.9135686293,-63075.2515477633,-64925.852362414,-64146.8905430335,-65727.4181607283,-65789.5575539348,-63953.0023421981,-64738.6946100305,-64537.0704265253,-65741.04894138,-66119.7793852132,-67354.25943067,-66203.0118483702,-66659.4204490711,-66864.1771283036,-67995.3670344786,-67556.2291443224,-66759.627011952
"6",-69924.5002077232,-69124.7064501169,-71040.9377858039,-72365.6756023511,-72886.4999300938,-73659.990356399,-75100.5625899622,-76327.8679094439,-76602.580783602,-76211.4232740577,-76186.5497894467,-76618.6989022515,-76126.0433002981,-76400.6546350143,-76837.5722271167,-75657.8365153282,-76090.3596513897,-76258.7824617269,-76629.8718057762,-75952.4106254621,-76470.0780172164
"7",-70031.4823295238,-71850.2732786733,-72648.0588164392,-74183.23378152,-74752.1736429535,-76268.1519544816,-75235.6866280897,-76223.7172161943,-77418.1653601748,-78445.0129930514,-78177.8835402289,-78265.2238721132,-77325.3965125662,-77464.9316513599,-78278.4065849668,-78289.6989458397,-77136.7961766471,-76499.6559281627,-75177.5515975196,-76263.8811966147,-76213.6898673601
"8",-47145.3876266245,-48088.3669147655,-47190.6528276984,-47611.8942531761,-48849.3012499342,-48746.2840633652,-51133.4000421471,-52876.1232893278,-51481.9956859074,-53734.8898877759,-53777.4020605099,-54473.2495914364,-53947.0422582126,-56166.2706474028,-55411.6637905922,-57171.2896309235,-57528.3268580581,-57424.9069315178,-57619.0572433051,-57603.2266348132,-56901.0411973005
"9",-31001.1454778073,-29407.7219922355,-31773.8739335486,-35487.2996602677,-36921.2355363449,-37546.6000975199,-38169.86154117,-39910.1952864494,-40938.6586831161,-40966.3986084596,-39152.4066325292,-42189.3892209801,-41013.7040443605,-39248.5917883722,-40942.2793231853,-40089.2816856885,-38760.0881101739,-39623.3526395798,-36211.8121227026,-36915.0118928608,-38757.889809196
"10",-60925.4779582094,-60274.8037589703,-61817.2632595594,-63228.132636598,-65596.0044907256,-65613.0769429777,-65383.6435052184,-64620.4066430024,-65091.1879299063,-66222.8487599759,-67077.1402058009,-66780.6121310061,-66678.0361355131,-66390.1376433015,-65332.759363709,-65401.4307396239,-66172.959355019,-66263.1328246824,-66655.1679633737,-65236.8347193922,-66018.6677535446
"11",-65508.4882762796,-66773.342819385,-67290.4155268029,-66542.4271627554,-68825.3390940163,-67338.6030101442,-68693.4075822912,-69489.0200707423,-69728.7859706906,-71046.7946508155,-70104.1549222702,-71513.8230777583,-71144.0572594147,-71052.3993378588,-71715.9312492469,-71895.0885317784,-72034.0205690043,-71592.6050246088,-72302.6996650879,-73278.681741842,-73003.4299934199
"12",-58126.9287179199,-60843.6692726072,-62810.8224853097,-67025.9336547023,-66285.7031288554,-66356.4411860349,-66159.6439836691,-66250.7995551106,-66240.3514401953,-65406.6715206502,-66762.7447401553,-66979.9348300073,-67353.113760764,-67533.7547716858,-66502.8499214401,-68948.3622640813,-67301.6899196259,-69963.4772142824,-69018.50690441,-68576.0169506082,-68054.2323781193
"13",-65054.2955191558,-64744.6303509279,-64831.3004781114,-67035.2616278507,-67236.9131601074,-67992.9919227038,-67092.4771350632,-65495.1816108562,-65153.1299156573,-65322.5759464318,-65626.364764633,-67820.8890468572,-68400.7890157929,-67341.9625461239,-66880.6982887555,-67357.8015855759,-67406.1327309251,-69175.0904967377,-68717.0939550552,-69569.6538426041,-69630.1798565764
"14",-61447.5838856184,-61258.4704650606,-64036.6299820535,-63992.8164560356,-64387.5165441101,-64033.976131034,-65570.9320347211,-66142.289500073,-65047.9968015799,-65833.0728626373,-65155.5723411364,-64692.189739283,-65157.5368599492,-65841.0989880171,-67135.0003981014,-67711.8443330572,-67205.1382706907,-67101.5953675853,-67772.2924300303,-67316.6601924659,-67520.5991274305
"15",-63886.976624517,-63547.0047619929,-64723.1786379302,-65856.151260765,-67744.7440624149,-67666.4965216512,-67659.5715986567,-69024.0470809377,-67772.9838867434,-68919.3147699254,-68075.0523360392,-67514.8119716939,-68689.282730819,-71495.1860629043,-72522.4711831042,-72381.46066589,-71838.9024960181,-71459.8704788043,-70190.2189550339,-69616.8997236884,-70015.1085316956
"16",-60036.2302108,-60383.8021486923,-61506.2364657327,-62940.3310718371,-63326.5961202777,-64660.994394452,-62994.821354816,-65327.7264006819,-65078.0735176516,-65395.0349351858,-65882.397800275,-65922.1640141916,-64758.6429980095,-65339.2259414713,-64561.3149950005,-65018.3378161628,-63550.3409599687,-63539.2401791951,-63119.853569634,-62871.0419465188,-62478.7002526038
"17",-47195.0455012439,-51945.9138864032,-51095.1689598069,-52677.2711736126,-52316.7157838657,-53595.9335491384,-54491.1724946839,-54640.1388231151,-54741.4623778448,-54729.9988524184,-53044.4331436769,-54982.7963559051,-55059.3023229249,-54429.2607462799,-55743.9787182421,-54838.943442095,-53798.8562696108,-51794.7136338244,-50038.0393698585,-49963.0585534812,-50135.2954088861
"18",-58979.6899913145,-57819.5429833288,-59200.358548865,-61259.0046365511,-60701.3258575713,-61881.9197530893,-63476.1580285139,-65156.9862186219,-65913.9659603865,-65849.9298346496,-65663.8716321435,-66434.6475476853,-66501.0891714872,-65818.0392453295,-65870.6026232363,-64428.5665931199,-63811.7059632337,-64526.7089489849,-63316.9813104991,-65044.2681718817,-63604.0397092974
