"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",19870.3694344531,13223.0688120691,12689.1210604697,15171.8597284953,21507.966751485,29092.6712977791,38685.5625647253,52849.6275690156,68391.3472891359
"2",20487.1533486338,12579.6557703597,12583.1122506083,14747.0938887627,19959.6355609428,27379.6405571321,38651.4054716461,51296.5851476264,66486.6746426904
"3",15322.9475024231,11175.9445957414,11553.4209311488,14103.4412522769,19180.9030421233,28153.0046570139,37997.3969897636,51379.4087551799,67263.8443807947
"4",17757.6418780079,13085.8739853839,12721.9770089024,15582.7835408894,21248.5993798385,28292.9262945319,39370.6487020104,51844.1275607354,67509.9480907126
"5",20149.6527260005,14127.4185348255,13079.6879124789,14731.7506688538,19586.6610601144,29185.4059250835,38574.8835438949,51515.0934481055,66019.6312814602
"6",18965.7074999163,14790.0529174488,11467.0190532922,13769.8204950748,18698.5923276239,26364.3401413927,37038.7226274977,50069.8725493326,65548.3934414006
"7",15844.4295351785,10487.3554965128,10231.390129821,14863.5491595346,20200.8310855555,26978.8928418546,37687.1583820572,50770.1348717169,66869.4961472893
"8",20233.9370451668,15551.9163294764,14668.4134592892,17963.6416616607,22487.7144462087,31800.9511688363,41452.0001155269,53708.0028129225,69234.9607297919
"9",26657.434240385,18705.4848465312,16675.9941208831,19196.3659626382,26781.3398931793,32521.9459002827,43835.6629245293,55273.4001449511,70857.7242723022
"10",18065.6071566419,14603.2840980436,13044.6573417111,15205.257384697,22398.7467306358,28473.044743395,39623.9288364148,53028.8982729687,68645.4346503495
"11",17579.0828723009,12793.3519640709,10887.0023424769,14352.398560046,21238.2139863918,28026.6821607606,39628.3662357129,52403.0946768384,66848.2151655565
"12",22874.1213840767,16339.4346590176,14452.8489033113,15482.7872589684,21064.7847901229,29554.7465490607,39489.3457903411,52808.3317816573,67569.8765289643
"13",16691.4206000863,12954.1344516078,11749.202287939,15342.417367272,21225.3292050817,30000.1854234111,39187.5567798727,52828.7576304768,68162.557493505
"14",22304.8799323345,14835.2491147097,14698.7020631514,14848.2590269012,21799.7348368761,29227.8564703383,39058.6418892033,52619.6679253394,67506.1908966425
"15",16421.5902168425,11480.5119342071,11712.9869692092,14779.5361773863,19776.2191593016,27126.3602051218,38601.6790768758,50723.4600604147,66296.6013466789
"16",23118.4301212235,18699.5413344013,15425.8195888469,17388.1584033369,21403.0188689747,30433.5049142743,43711.5276964419,55247.6486046497,69268.1469267356
"17",32621.9995978873,23040.8315766174,24514.0237684716,20305.1434505138,25989.927652729,32635.4224718007,45066.7833077535,57001.9627662509,70381.6619161393
"18",17826.9576730052,11634.4249435766,13019.2752339908,14258.2325120069,19427.3569420306,27729.2872570185,38272.4685587398,51090.3967878065,66563.5142218227
"19",15504.3873325227,12409.08536525,10571.8206488075,13700.8128998321,18277.4966708169,26827.8594584213,37109.3315442335,50426.635817684,64882.4086532502
"20",17819.2442269764,12123.3652910011,12495.8436210264,14259.9981845135,19254.4103402091,28086.2484074394,37930.326876857,50065.7063498032,65024.8572274816
"21",15304.225346473,11164.4239322074,10190.368361862,13462.8525991849,18430.4512939307,27048.9610271153,38552.5462080101,50214.2503763423,65008.2654509169
