"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",13376.3117020489,-12088.4064874331,-30546.1070385052,-39527.4923065835,-39460.1927772391,-41087.7232821324,-36119.5703807271,-28254.3557690207,-15742.3679853491
"2",11341.9291483869,-17826.3308592226,-38033.7377207313,-48947.8890007906,-54394.2757587665,-53755.0366881996,-50824.1084931281,-43618.7122036911,-31767.0642713376
"3",9555.70606993611,-21353.7889744573,-38874.6158364313,-48342.6029974466,-54447.4028750695,-54024.562409063,-49282.263465021,-44214.3747147338,-34443.0414013376
"4",13679.77870584,-16974.0998534368,-34238.7686351509,-45137.8465558425,-48571.3535662337,-51941.6795879572,-48801.6678012283,-44938.7166510451,-34377.8519947496
"5",19597.3289084863,-6545.09527417932,-23471.6480308254,-40587.0660972385,-48437.9971742116,-47788.9101311503,-45076.3026812821,-43027.6687453553,-32529.3928024292
"6",8081.11952251151,-21395.5299994193,-36899.4751374728,-48399.5969741167,-54727.8506059045,-56415.6995268757,-53250.5927701494,-48266.2375245672,-40811.8798424034
"7",9018.90101445789,-20497.3069267189,-39568.3362981852,-50303.6366776684,-56337.0714856366,-59021.5859781198,-53642.6403748525,-50438.9595681758,-37559.8963595331
"8",19266.5571857397,507.000236706019,-18624.7115522149,-28558.7237029595,-35737.8601433904,-39443.1628253826,-38094.8334382626,-31002.1002696191,-21018.158831805
"9",35039.8552423575,7889.96909998424,-11900.0456813178,-20511.2324104569,-23887.2434415439,-25539.1621288482,-22335.3448591606,-17749.4203652944,-8977.48991704278
"10",12142.0643735928,-13213.8056919742,-31797.5599499077,-43183.7040248885,-49428.9827594025,-49414.9945452323,-45384.3887153946,-40277.1247869476,-27875.8187387624
"11",10120.1998147102,-17515.195424217,-34871.9063640119,-44485.5582009214,-52851.4603332287,-51995.6466790672,-52373.5883545681,-45030.279573971,-34943.6446424226
"12",20683.7090212221,-3805.24829507755,-27868.0084417494,-39060.0647383311,-45296.4715786,-50182.3008852524,-47285.3702938957,-41893.0761504011,-32863.7386223411
"13",13071.3634351877,-10996.8591277673,-36383.5637449898,-46848.1231119569,-52384.3827947949,-49491.3597840804,-48559.5287618844,-43930.923777296,-34695.9060337031
"14",17242.0814617288,-12227.1249138051,-27195.886748436,-38042.3371543622,-49352.0767930519,-48248.238407511,-46321.033142069,-40694.5980479581,-32343.6955013775
"15",15466.3843601459,-12881.8043925754,-29172.3856067469,-45625.9011380847,-49767.953854376,-49066.2221371973,-48358.5797340066,-40889.4118075776,-32709.2668245066
"16",19446.343064898,-13314.9954724498,-30137.3843205365,-42739.2746045593,-47544.007150332,-50180.7123105857,-45932.0200744809,-40174.7854533638,-31133.5738988608
"17",21794.4668637563,-5841.43147952689,-21609.1741138135,-31769.6685415511,-39289.7312245303,-39544.6652115139,-34943.8708420748,-29692.6616756785,-23328.6038555256
