"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",13223.0688120691,13442.6068937377,12383.1459832661,11683.4476425834,12399.4766779189,12111.6936119988,11675.0084119814,12236.1408347784,12232.4447746558,12617.1456393025,12689.1210604697,13334.9903110935,13408.2046298401,13127.646649575,13057.8574070264,12958.6750754797,12919.9504667947,13128.3586125297,13824.0967910092,14746.5100184955,15171.8597284953
"2",12579.6557703597,13249.7624198635,12519.098903617,11927.2817440818,11520.8025305904,11309.6168804916,11778.5146030589,12338.305463006,12353.99991512,13014.8591423222,12583.1122506083,13159.2838738463,13373.3276627624,12369.5695801807,12428.5587408778,12802.2687675629,13201.0145458852,13314.1926475211,13046.8706748135,13654.9781039931,14747.0938887627
"3",11175.9445957414,10762.7853683955,10300.1403436938,10999.3714593208,11312.8715424454,9967.93508036628,10108.5681991412,10396.7694950292,10613.2751624541,11240.2531335934,11553.4209311488,11707.8877183319,11896.237162056,11930.6746041264,12354.0080525383,12213.3971285047,12009.5163851555,11915.2986493946,12468.6397636595,13314.1801401529,14103.4412522769
"4",13085.8739853839,12872.7456228356,12390.339228043,12985.5644019292,12683.590806981,12705.3041907583,12895.3701027173,13788.7440680525,14315.8897619387,13601.1518410026,12721.9770089024,12758.0468536877,12930.3408268075,13254.0399713699,13311.4898804182,13247.8607479451,13481.1426227992,13747.890530391,14004.3153532326,14550.9825374874,15582.7835408894
"5",14127.4185348255,14306.1803488425,12964.2850930444,13102.8148297711,12569.4572682096,12497.3429893123,12879.6466730653,12010.5646092633,11824.4617749601,13355.3833626512,13079.6879124789,13084.3739936678,13249.8097612422,13578.9976585257,12326.8497637901,12071.1361486581,12212.7136460063,12855.3015111057,13525.3041822566,14393.9911090959,14731.7506688538
"6",14790.0529174488,14624.5494520036,13577.0385268947,13713.5760049391,12117.6141115354,12359.7655094437,11423.2316575011,10569.3447485267,10279.4378272094,10303.113030693,11467.0190532922,11297.068714944,13087.6080180912,12951.3343804069,12426.5933390531,12240.4203444496,12840.7006361235,13010.6334159443,13431.1900935067,13265.0963969694,13769.8204950748
"7",10487.3554965128,10244.5344993339,10449.5956658471,10399.5964306225,10717.8932496406,11063.7322194279,11029.6680432163,11421.5852992503,10885.2600865745,10643.2653527061,10231.390129821,10244.8353789635,10311.7093723451,10386.7555387906,10263.9491829159,10492.3182345304,11085.4885862594,12098.134079105,13273.1958774774,14402.2944086556,14863.5491595346
"8",15551.9163294764,15652.5045238186,15831.7272612964,15578.3108000361,14780.4754866327,15237.6821919545,15204.8007594731,14993.4751034259,14148.4741584858,13883.6666295425,14668.4134592892,15061.0527662935,15529.4163390102,15713.9057508506,16240.6887904719,15802.5811703647,16192.7865639986,16141.3811501856,17732.2352002239,17166.6354125338,17963.6416616607
"9",18705.4848465312,18779.2587101804,17139.8488866936,16142.8843817967,17149.150466027,16503.7786402407,16303.009841695,15899.0595591217,16719.5252190369,16344.1722609343,16675.9941208831,17370.9233029246,17159.7844191601,17158.087421908,17174.3127692211,17553.6010599461,17699.7765104081,17289.1677850885,17259.7938038162,18040.3493050958,19196.3659626382
"10",14603.2840980436,14669.2693584249,13740.1653837009,12883.4878566791,13132.9461196586,13295.9836693627,12961.4328549649,12971.6213200397,12131.7131741833,12703.1664110864,13044.6573417111,12729.0491104062,12771.7226561604,14370.4824721476,14423.5385280898,14649.4562288305,15128.560737087,15478.2631959384,15876.6060937041,15446.1883229849,15205.257384697
"11",12793.3519640709,12296.4876504357,11847.6632363981,12235.4356885146,11465.8844815638,10857.8215136072,11077.6193679547,10703.7999737929,10686.1448238621,10826.2996981036,10887.0023424769,11625.2748772308,12845.4388696033,13914.6758692818,15353.7415769118,13554.458180229,13397.2907055418,14190.659037371,15531.5964699775,14414.8042823223,14352.398560046
"12",16339.4346590176,15721.4371904664,16062.7912431853,15762.9390155672,15914.9968596861,15455.6669361914,13780.3123250141,13845.3410072672,14616.9259506791,14083.2005226975,14452.8489033113,15177.7012726844,15916.2978178319,15441.3413975057,14185.3356291243,13997.4755665,13790.4976077577,14355.005163588,14616.167925875,15534.8585354761,15482.7872589684
"13",12954.1344516078,12397.9875976925,10606.1171498842,10663.6337526491,10900.5414022152,11285.2102927608,11103.7473683048,10829.2011479382,10860.1355461424,11524.2503833808,11749.202287939,11705.380938043,12084.2724782516,12338.4776054463,12960.0708658047,13348.103242188,13574.6421807083,13817.8677939405,13958.0872985241,14964.1258843859,15342.417367272
"14",14835.2491147097,13478.8582834064,13804.490387573,14008.9139611068,13149.8754236341,13708.2039373796,13319.724624207,14693.41416385,14277.4223269722,13779.3961263251,14698.7020631514,14165.3695204766,13975.4623559273,13578.7330016122,13840.5229252918,14081.0772451614,14597.4493788621,14302.0513484514,14171.0008165362,14550.1566384791,14848.2590269012
"15",11480.5119342071,11878.4227978309,11450.7207237608,10844.7841862377,11053.653616068,11048.6260790813,12084.7163819632,11873.4844993925,11862.9231298891,11913.7971365215,11712.9869692092,11241.680724519,11421.983316259,12443.1465292818,13197.8408506393,13050.8003964262,12910.0406891567,14023.9765088601,13772.5776479854,13721.2212027777,14779.5361773863
"16",18699.5413344013,17918.00045921,16760.5572790864,15795.7068542383,14920.6474730459,15129.9355829926,16066.9401972239,15485.4875966719,15479.0836641095,15373.1225066978,15425.8195888469,15433.9321240685,15820.591089297,16653.4952640401,16418.5131368766,15612.1618998638,15509.3022708889,15653.5495050483,15746.3129630272,16759.5718188656,17388.1584033369
"17",23040.8315766174,23235.2887966171,23844.0310511004,24029.9579791105,24434.7326816577,24970.1477505735,24188.2175096022,24258.8691632646,23898.4301493546,23809.6763917145,24514.0237684716,23645.1165638012,23855.2134242447,23934.2171446244,22714.6095260143,23260.4756509609,22280.4764821048,21506.5675653156,21381.1282697411,19934.6005329578,20305.1434505138
"18",11634.4249435766,11514.5157764588,12052.0266935016,11970.534763115,12340.8156309337,12050.9810922042,12167.5037354796,12506.6292446215,12397.1693072324,12285.1894692061,13019.2752339908,12826.8451802648,11946.0573952139,12242.6909985662,12039.6196148027,13001.9947348494,13085.2131029915,13146.5073846184,13979.9350880748,13856.6765544366,14258.2325120069
"19",12409.08536525,11847.7847072102,11810.3577588795,11740.1438980575,12220.7460296455,11677.8473443355,11068.0177497895,11256.2832828015,12515.8292143979,12092.5310322198,10571.8206488075,10991.0290290268,11051.3889579775,11382.3102322482,11581.1435730511,11560.2307802169,11864.8941483391,12537.4063062649,12651.8187420438,13250.5752974513,13700.8128998321
"20",12123.3652910011,11133.6883136163,11617.1198288059,11985.4460996702,11887.750867112,12088.2722089643,11817.8120896172,11388.2053289254,11285.4334646306,12052.9749020964,12495.8436210264,12957.2117201004,13333.1788820574,13724.3828056627,13294.1670696561,13017.3030224203,13177.6227465921,13250.2782290201,13427.9653510171,13466.2577338014,14259.9981845135
"21",11164.4239322074,10858.7119564901,10648.4258556048,10216.712396694,9872.82744606431,9694.05135089287,10169.3412354355,9973.232588662,9971.51643641611,10273.1859396569,10190.368361862,10450.694074397,10772.3276283435,11186.2114273938,11061.6918874876,11891.1577688606,13100.3385175358,13481.3890415395,13499.5975797349,13253.9144445407,13462.8525991849
"22",12946.4322772651,12706.7875081726,11624.0354799092,11440.8922948369,12256.9533292949,11967.8569076168,11456.7717444051,10710.3863833876,10298.9771185984,10022.7237329969,9893.89454421301,10320.1081341186,10829.954637168,10777.0661599081,11255.4918914487,11737.8745282445,13358.3934651801,13053.6924399644,12536.918788127,13271.1215327885,13469.7272876329
"23",12766.6694414586,12681.5137443271,13178.1843830532,13536.0603657051,12706.1059927266,11879.3784081331,12632.5708538173,12207.2108976027,11970.8761560766,11670.2303019915,11742.928858845,11753.1098607309,12044.3432950048,12228.5617410731,12381.0569448776,13098.7476598815,13348.4622118267,14000.8924560755,15121.569515683,14758.453411825,15417.845424434
"24",10558.0864232898,10719.7417025257,10436.2579745884,10377.0642670313,11043.8495544611,10962.2224616796,11172.4336744863,11607.403032833,11695.0618313896,10947.2912838034,10613.3660375459,11344.4484716856,12165.3946995714,11796.0507661338,11973.1535053635,12491.2182087982,12964.7345636882,14279.2287188,15038.8367778741,15004.1721793448,15620.8910693894
"25",15188.5444502213,14285.1813077673,13360.1498867352,13186.0601134943,13347.0602906957,12438.6829990474,13725.9530417348,13861.6630432028,13023.4224630402,12575.4758783174,12644.237805706,13589.0324621535,13235.6614805671,13049.6169578649,13674.3503850096,13942.5740739801,14255.21881438,14349.9248116958,14189.7068001985,14299.8659506688,14992.7721556906
"26",9452.06478345066,8769.53153977847,8605.56635248235,8962.58712528835,9001.30387676652,8715.99836755885,9278.0168508556,9740.0510412533,9293.65381001948,9416.40601677901,9553.66182840804,9617.66254241602,10002.006605437,10466.2904177459,10419.3469739391,11710.2763669821,12133.6402629954,12204.5459274025,12117.8943352141,12536.6133682921,13502.2762222924
"27",16976.5142457736,14943.3903208334,14003.1358016164,13681.2917388977,12547.9207341467,12805.7338248295,14558.692595518,14177.3591134423,14435.778153465,16798.4754962257,16329.7543937585,13148.9242762305,12454.675995541,13892.7260584438,14175.7150508282,13796.7661276301,14098.0386217964,15756.9954622689,17055.6697208818,16341.4097740825,16195.4451805349
"28",14155.5873122388,13657.1380238958,13146.7298516489,13275.444315745,13123.594659996,12747.7763348237,12930.1706010607,13305.0507465235,13248.7743433977,12912.1413469896,14062.8457713756,13994.3439151941,13611.3925384994,13491.5884319628,13952.2806801927,14185.5609563568,15850.4917290335,16229.4419835742,16022.5782583978,16294.4525191133,16789.7224886864
"29",12546.1304575539,11155.7071508413,10531.3752893163,10489.1014267666,10514.3120812212,10905.2615710737,11575.2500039914,11702.4469715079,11663.6531236722,11456.4953259944,11153.9783892441,10916.9563841095,11583.5262338347,12335.7070113323,12522.1112206373,13096.2141150627,13255.6865806873,13585.5383114013,14208.1796605981,15429.3460485538,14992.6427302443
