"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",-39460.1927772391,-39185.4395410809,-41212.7081949741,-40539.0064795436,-41030.5611943182,-39364.9054092472,-42971.5658584539,-42006.9720988904,-43096.1373190514,-42608.2750124678,-41087.7232821324,-41910.8073682686,-41761.1168468129,-40100.6359526751,-41743.2282465248,-40611.8497439713,-39425.0442934734,-37447.2850141297,-36359.0531024061,-36051.2455449904,-36119.5703807271
"2",-54394.2757587665,-54081.8185284649,-54138.5222321212,-54701.5689819819,-55579.8643429152,-54664.9195874396,-55656.6205989154,-55842.9532490499,-55036.8318435853,-54837.4360738419,-53755.0366881996,-54146.1674873501,-52880.7287570262,-51622.7713063926,-50684.5522014718,-51833.6613413768,-50379.1593433357,-49805.7715033551,-48306.1905285372,-49381.4803280799,-50824.1084931281
"3",-54447.4028750695,-54465.8206922615,-54320.8961056114,-54831.6441914636,-54762.2328820172,-55126.5086932373,-55409.2273441996,-54647.97746685,-54754.7828534242,-54188.826645212,-54024.562409063,-53620.4797164768,-53842.0938144223,-53628.9452939195,-52490.8081502286,-52899.3285916497,-54060.2187571441,-51381.5553245273,-50265.1655939566,-49436.0351106089,-49282.263465021
"4",-48571.3535662337,-50229.9552865878,-50395.4851521831,-51757.9564204767,-52787.0779102106,-52609.4305215323,-52725.3264875839,-51683.5054378201,-51149.0778777955,-52262.4971717803,-51941.6795879572,-50977.5120778211,-49967.5746132499,-50120.3165080775,-50670.3035356453,-49993.7528719507,-50260.0180666682,-48868.762440603,-48456.3980755208,-48758.5046559674,-48801.6678012283
"5",-48437.9971742116,-48599.3750299968,-48224.1452858481,-49698.7631450126,-47859.9769704134,-49331.3272558568,-48431.0835682311,-49520.6699792599,-50022.5256247243,-47546.6720236955,-47788.9101311503,-47081.2154919768,-47670.6382983425,-47333.5657323737,-48371.1650073148,-46614.7927123502,-47066.7620069798,-46544.5713748452,-46985.658914593,-46440.3778432309,-45076.3026812821
"6",-54727.8506059045,-53382.8803680909,-54661.0995251543,-55655.9180318447,-55979.7313140347,-56495.0651315884,-57477.6550713641,-58588.7127643393,-57708.568869936,-56781.2337534619,-56415.6995268757,-56935.067049043,-56006.7061914326,-55837.0648918109,-55913.5591275768,-54446.2726676869,-54730.8493764412,-54185.5795403024,-54046.223316469,-53020.1430537116,-53250.5927701494
"7",-56337.0714856366,-56933.5864631546,-56751.5356091997,-57486.4651797798,-57442.0956610816,-58795.5940088809,-57234.2783551881,-57686.2655656643,-58660.9141091724,-59740.6890520523,-59021.5859781198,-58605.5700902555,-57452.8247156541,-57396.7223872505,-57828.7563961971,-57768.0791443021,-56114.2372651786,-55175.139936307,-53317.7150911625,-53741.112624798,-53642.6403748525
"8",-35737.8601433904,-36635.1018879835,-35765.954512956,-35284.326077588,-36502.0695794422,-35440.541245617,-37281.1558618303,-39889.8113467345,-38035.0298139449,-39722.1159228216,-39443.1628253826,-39031.8356300889,-38101.8163592231,-39976.4410703492,-37859.1213984088,-39285.3628525353,-39667.010891818,-38753.0877741826,-38906.3775100371,-38932.2703071214,-38094.8334382626
"9",-23887.2434415439,-22204.4864150946,-23604.3295291619,-26393.781020024,-27280.6113637388,-27981.5214077219,-27583.4176152485,-28136.4029477192,-28424.4697925271,-28169.8918797053,-25539.1621288482,-28443.6183860589,-26406.2624262196,-24508.5198718276,-26058.9380706909,-24843.6413847244,-23922.2420062643,-25680.1609280031,-21826.0407962719,-21755.9880008522,-22335.3448591606
"10",-49428.9827594025,-48364.7699054634,-49045.3328387281,-49651.4695318761,-50843.5708505667,-50185.0451796655,-49385.2398872853,-47678.9227023229,-48067.4754499776,-48930.1195295765,-49414.9945452323,-49004.0592764173,-48529.1609307444,-48301.3413786913,-46529.2076828511,-46048.7191468442,-47295.5667870457,-46415.2569559778,-46532.8479790101,-44978.6793047491,-45384.3887153946
