"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",31347.9732650711,28346.9298865563,27234.5708456921,31308.477042854,35693.1885059469,45008.7907217543,54641.952081037,67098.6236889276
"2",30570.2060447137,28719.5765989493,28972.9093262748,30874.4047414454,36519.3482152806,45826.4753468987,55825.8165454333,68364.5017921067
"3",30667.4582369719,28252.0614270582,28719.3068494684,31290.1244770017,35554.9334726983,44325.9664174256,54490.2119375948,66987.4791255535
"4",30059.8320338443,27619.0787474638,27463.5886736319,30476.3198978548,34829.9777170676,42443.2227450165,52910.8241388145,65599.8826168082
"5",30637.9830636165,28669.3853897778,28068.6803259061,31018.3196061379,35088.0137225782,42398.4197716054,52528.1906271669,65547.128082341
"6",30426.5356660832,30616.3070679328,28191.2265072133,31057.8959434729,35959.2472099997,44643.8384140403,53422.3293860885,65847.9334952772
"7",30255.7491272697,28494.1063542752,26732.7310753321,30058.6222613411,34083.1263257653,42664.5459868737,52124.3454741982,64514.6048802846
"8",31629.2189637456,27513.3565855624,27815.8094550441,30868.0864320458,36969.0513742665,45667.9150013777,54958.8569912674,67776.5085850634
"9",34055.4814501267,29287.0511759409,29936.5095659069,34102.5731093589,41152.4170888048,47894.8219502298,58267.4729516549,71153.3922274075
"10",34419.6955363924,30914.0755440211,31374.5129172539,35794.2652771095,41887.0236326046,48104.8024925441,58953.6211568581,71486.9317556717
"11",34749.9397314666,31744.5717609862,31326.6010765601,32614.4334365273,37780.3538731948,46501.6727869513,56501.0286928187,68911.9494814904
"12",32214.6642349554,29447.8906368184,29992.2963676528,34591.0790210569,39883.5148952319,46493.9729477774,56811.3006901135,68750.416533155
"13",31683.2571524796,28759.6934670278,28435.5479702355,32616.1672936578,36854.769483969,45124.0831714486,55803.147962319,67785.5595840504
"14",32556.8673542993,29013.4390078197,27417.1254993283,31679.221356626,36569.1734887211,45090.3259287627,55523.8242766339,68150.6395594007
"15",30240.6254047606,27371.0563475522,28115.0682375897,31056.224799871,36002.9966201663,43903.7725729574,53871.365281133,66481.8151102492
"16",31406.6133345331,27140.38078615,26917.4248435485,28776.046877495,33705.740949844,42811.8654158443,52627.9504722754,65208.9977617065
"17",34040.795704333,29699.6320820257,28858.2480882016,31416.5255083602,36372.8702765641,44887.5256493329,54491.1824181897,67522.7542021279
"18",35262.4284845181,34287.4470340428,35053.9430772805,41091.6783482109,45695.9893686619,52702.8814033216,62625.3057759534,74176.0565250878
"19",36932.0831123714,33604.7125265539,33046.1218298666,36832.4524808629,41367.4425550726,48470.5029190941,59211.8593300821,73557.9585787045
"20",38504.8062741991,34141.2186286717,33954.6743878376,38180.9177929388,41594.9216441025,50402.6206597144,59685.7500785246,72956.4660046799
"21",35757.8591278202,31500.2726870857,30928.1757156127,35092.1513662294,39317.3368096676,47871.6324020432,58106.9659579044,70260.4854054391
"22",36256.0807420457,33046.497905528,30735.9004046524,33283.0108574589,38554.9236941374,47460.2943868734,58302.4068633567,71636.5238221766
"23",38047.0545256229,33549.9689649853,32837.5789592608,35611.9223520153,39408.3994511518,48431.6745733376,58653.4765084477,71617.4308699268
"24",36793.8436086066,31944.4330872813,30403.088971808,34393.1540335174,39109.9754207217,47155.7135994545,57418.4106202945,68975.1589304621
"25",40829.1114864966,34422.4301379198,31879.2257363891,35188.2270666686,42496.6201943208,51962.2612379576,60997.1396280392,72472.3177810318
"26",41270.3250311114,34339.6007745729,31167.8877112262,34736.531909981,39772.8444437202,48108.1528456373,57371.0548310621,70226.0039466051
"27",35789.2675848868,30851.0903359698,29376.0891376115,31668.1169287962,36400.8558188026,44946.4177497706,54222.40526553,66976.1045998258
"28",35224.8399462157,32940.5951728358,31546.7677778614,34252.4590884799,39444.2076884792,47184.0366970024,57315.6406043829,69390.315961242
"29",40020.1739104303,34850.8358695182,34451.4277991267,37332.7678175098,42603.5600207075,50855.3114039793,61156.1801711833,73017.4044304341
"30",37090.9424014333,33193.708149963,31948.8813613207,33911.3714962313,39901.005000764,47788.2442317987,58590.3738461872,71294.1444855226
"31",34874.6454587499,31765.6622311814,31452.8563627107,33042.0022888545,37630.1238295715,45990.9447252924,56113.4432621531,68604.5287989271
"32",38296.237828845,35325.7407726548,31992.8012026129,34167.3042730306,38600.4814185064,47108.2647157035,57487.9216780163,69899.9122466211
"33",35069.9918008623,32149.3929837966,31359.6242381533,34281.1857376549,39107.3358827703,47806.7929970158,57058.6208001056,69846.5448913922
"34",35912.823336843,31974.3059966765,29599.7514512977,32867.6158044031,37318.695723265,45086.5199591726,54863.779729085,67431.5354873307
"35",36721.09922222,32556.4778733638,28826.6094767044,31681.6917315601,35749.9428402752,42214.6329901756,52701.090841346,65138.7699857051
"36",35494.7371864969,30251.7922868795,28470.1960454797,30500.1747262636,35580.9973101826,43200.1486821131,52940.1612634096,65424.1344196266
"37",38119.1925969331,33369.7693044816,34233.1252171114,35950.4252662742,40191.7275738419,47552.8862707969,57477.5973242033,69197.9382105265
"38",39827.5460526864,37385.2512114393,39272.8509901356,41865.4215670038,46307.6315822361,56915.8565365558,65632.267826099,77789.6236656991
"39",39870.8065403063,36005.1551034104,37132.1969578256,40843.5576902819,48753.4801080655,61526.2453242996,70585.875066493,82119.2573360585
"40",43741.5133159578,41967.5850024998,37718.0789442193,40110.3212964848,46976.991745181,54533.0549721232,63788.7219740674,77905.7158083213
"41",47839.1153970046,42852.5569644131,35546.699961777,34451.4563978852,39236.7370757201,47784.9911861158,56683.4467283335,69606.3275625585
"42",41457.9062914238,41373.1409642975,37063.4417401368,38757.1187527064,44988.0913156048,53463.7030417479,65396.570707115,80531.4641167487
"43",42024.1318005518,38593.7604154754,36861.6009730978,39175.0716197022,44365.1179507544,54350.671378223,64815.6376699405,79171.6867875789
"44",41184.276358833,31601.7378684317,29684.4540871129,32193.8161369865,37459.6900854298,45172.9757037788,54930.8762337187,68327.4958438414
"45",41806.0544132257,36715.8485788577,32913.1241855677,37045.7052688258,41696.186212769,50210.7642472155,58236.5570500659,70898.5957423651
"46",42666.1305822024,38073.9905551072,35130.2631118908,35708.117555401,41793.2872639153,49237.5279639516,60089.8799149386,73926.9899025672
"47",40159.0586060809,36255.8179558116,33921.4074677959,36306.1930269334,41229.4955326081,48107.2399983588,57993.3986006883,70658.0053518564
"48",39605.2248567764,35458.9317984741,34280.9553583571,35826.176038449,40935.1596747872,47001.4978268094,57180.071271138,69847.9800677309
"49",43731.9432227212,41178.0337957119,42904.3931042676,44466.1305182797,48067.8090597541,53603.923718043,62817.9097425598,77992.7705755383
"50",39194.8962329932,33570.0892373852,32935.4552997009,35201.0199050438,41228.8375984962,48459.3594456887,58561.3283791673,71157.9260597251
"51",39608.0483095412,36025.8536284627,33708.9141507077,36148.7550162035,41208.4926106834,48336.2832013305,57690.4053676347,71668.5993993948
"52",38953.3885596918,34578.4300944806,33432.5466082299,35353.4205974108,42056.3030818207,50584.9897227289,60301.9458280791,73329.406430697
"53",39649.8072938496,36716.7037760991,33894.9123948567,35818.0884294713,43198.1169555314,50430.770136024,60562.5226327171,74230.9710508232
"54",36135.1235589492,31670.9470337357,31400.608722086,32967.4912669824,39227.6967164496,47269.6343979202,57336.7372093352,70088.5658258318
"55",35936.9930301338,31609.2755125991,30730.1089894234,33574.8096992785,39104.2142987853,47421.5327103273,56657.6523213919,69193.4102558959
"56",34912.5653257155,31340.9120854254,31196.3445753256,33157.1765024786,38472.9144761162,46316.3056513822,56144.4882687391,69351.6099427881
"57",35471.2141762683,30945.331979979,30313.5384071721,31804.9392715965,38252.9918600795,45642.5969155115,55570.3461078071,68902.4095376416
"58",37763.0568465538,30391.1306043329,29527.4321150084,31629.6361122979,37631.5858550784,45676.4288729254,55111.9645920468,68181.1862083648
"59",37371.4997010325,33414.2162321115,30276.9629948072,31140.9643669442,36513.8402189762,45991.4337084649,55777.5061832987,66974.949884899
"60",33595.4684319505,30107.6106710052,27950.8020634787,31535.0964866528,36069.0083885435,42567.2021191337,53264.8941424846,66033.7835938834
"61",37250.4193569745,30112.0014846427,27412.5058216695,32501.6531116139,36889.5297162422,44388.2002049281,53355.0306103384,66200.9029181299
"62",38472.2531659266,29516.3335348905,29318.586387086,31542.8871732862,36828.3550593068,46300.9780094454,55562.1743099048,68394.4133968958
"63",37532.5033357687,30707.7514447698,29647.965288328,32484.8867815788,37646.9223284894,46264.87599132,56945.6351755389,69254.6249411064
"64",38279.9680522685,33628.5309753745,30447.7975000592,32073.5511370575,37785.3227714878,46264.3850309054,55830.7128293887,68658.6857124346
"65",35742.451431793,31495.912120574,30003.9171444283,34445.2725806911,37508.3820895189,45445.3989025563,55388.4793709732,68337.009526333
"66",34977.9388632277,30178.1411088041,29336.0108442376,33984.2861868099,35834.149797856,45041.6266269626,55484.2559091803,67645.7706025873
"67",34525.9655409843,28701.7395973324,28647.0407983024,33308.8197053932,38466.7331970311,47695.8250261509,57258.0856781249,70096.4663488792
"68",38671.749608622,29126.3289413682,26819.5939828582,29491.1399697164,35652.356973065,45101.7554124593,55322.9189529707,68206.3969516512
"69",36959.522045706,31696.32665315,28357.0914746345,31004.0753349712,36127.9776753591,46289.5022704164,55970.6632945697,69395.834233571
"70",33240.5707585573,28847.0477907239,29336.8214536353,31296.9658287131,36832.4848410195,45220.615414873,55419.6338753137,67364.0243963392
"71",32744.1734011693,27832.5160726375,28349.2684037265,30160.7290499782,34968.1524935346,42327.8152306159,52949.5391610877,65731.9372195503
"72",31996.1149617878,27533.6459093848,26907.2898966364,29768.4193728748,34933.4964665646,42587.9181476388,52575.5662984819,65394.1202305202
"73",30988.4467316771,27145.7538655978,25671.3155645999,29414.0183233002,35060.7074085327,43011.4959029242,53569.8042124007,65696.1448529765
"74",33200.8621796261,28802.339399765,26438.6816019728,29334.7312941335,35044.9456387051,42802.1581880226,53429.0913272065,66718.6495662133
"75",35184.8346831493,30617.8726239218,29006.6809091937,32909.3629400577,39216.4310804897,47380.5580789295,57551.4727126456,69872.5013150484
"76",31641.1550364205,27873.5186413827,26624.591609887,30205.3296143621,36655.9048827716,44583.1923037425,54534.9678116147,68212.1774497642
"77",29408.4719719502,27684.248823902,27001.3888720303,28756.6217953984,35085.8025458897,42493.3432397582,52571.3859975285,65060.2254346481
"78",30994.6140755273,26468.8560581701,27099.6053660979,29510.4683980043,35048.945109325,41753.5099025659,52505.9693104647,65112.5255973045
"79",34712.9017911912,29901.8168960183,30061.8540782121,32412.7214276206,39436.9652248418,46480.9953599203,57623.625320268,68145.5910142529
"80",34992.552329173,29491.8629958643,34322.315276612,31703.3941063504,36699.9015083079,45741.9056315293,57813.2004825651,72886.5291346376
"81",33833.7816895625,26898.5113182125,28310.1219553364,28583.8810579607,34987.7488446062,43817.534164092,54265.7022390563,66116.6477275081
"82",35003.0336599922,28941.6328627984,26600.7815229917,30003.9565603513,34708.0507393756,44233.1174906057,55214.7041197315,67682.0651373974
"83",33725.7271928403,28636.455374462,27835.3721567285,28930.8120314007,34501.3506390554,42402.0597268377,52824.7141543901,65296.1673104013
"84",32307.3329578417,28221.2631611518,26598.3035972139,28763.5103668383,35296.5521236327,43257.3279740134,53490.6148809751,66763.1090062842
"85",32081.7166500501,26704.0299081348,23759.0414046293,27407.368161232,32613.2829897175,40042.0949029457,50930.0397471681,62977.9634136766
"86",31034.8550435347,25174.9416013354,24648.5534787762,27054.8980599205,32369.725878468,40776.4773879997,51054.7057315293,64751.2724276196
"87",32941.7546948889,26259.0939305025,25997.003540372,27295.40907154,32941.3216690273,41191.0458951308,51566.094061333,64694.9271923525
"88",32297.1476833935,27691.7545535664,27127.9714827473,29426.6290258673,34650.9594849498,43199.1484163203,52982.4529277937,66631.7376265363
"89",30553.7371630538,27999.4234348616,27386.8658743951,30456.0706311691,34108.6509800335,42486.0921257554,53241.0068870657,65107.6423439344
"90",31163.0558812069,27106.8189157931,26203.7704013157,28955.2065038106,34422.6598066297,42943.5621015888,53227.0991243355,66088.8747488288
"91",29730.5106904643,25808.8820453637,25088.3325743635,28058.1049303798,33607.2134740555,41415.8803634228,52045.7957475721,65362.2220919836
"92",29780.191754802,25984.0464863479,25200.5325263275,27776.7614804401,32781.4094430606,40085.0733279046,50439.0898624126,63212.6497792752
"93",29727.9088562675,26224.9577716537,25747.7772198692,29037.2163279111,34765.3793046775,41702.0774118248,52757.7325846434,65304.308427148
"94",29287.1823236886,25350.8180649007,24130.8986990063,27868.6438104305,34633.5136470692,41613.9011956883,52481.6072505415,64655.9165411796
"95",30236.3480209936,24891.5775406305,24944.220353588,28035.2380172987,33908.7509310705,41000.9828459257,53060.1356278612,64586.3202849551
"96",35671.3891186508,27273.5774663023,29213.7553137274,34157.6257658575,40884.222453095,52140.342494079,60488.379613695,72758.6047787162
"97",39402.2838722765,31591.0112631085,31258.2745546308,35103.6396751818,39264.8121998181,46794.6670193619,58053.8101774463,71015.2538783723
"98",40081.7874679037,37096.305679306,34708.4403463026,36306.7070509858,40382.557788475,44961.3173820854,55530.5802646539,67177.498746152
"99",35391.7859789895,34083.338263728,32682.6353753771,35076.1216466019,41550.5669049521,47843.5225284026,56548.5706689258,68550.2232861086
"100",30202.8075757802,30030.6888463487,31324.3412241085,33880.8020462805,38621.6284417909,45894.0201816671,56351.7243792848,67999.8537327239
"101",31497.658237682,29000.7385241121,30360.9153582181,32960.7045150193,37687.2111335576,45165.9141642885,55189.3133904635,67625.3405238569
"102",32836.0980959878,27954.502446522,27290.0156870738,28995.8988022726,34565.7825858774,43237.2804672574,53170.0352703937,66333.7414316718
"103",28207.0214609258,26217.4369105103,25937.0697070005,27465.1132736432,33100.1788157166,41383.2618119089,51281.7365714709,64517.6147428353
"104",28339.1945188552,26745.1768625146,25500.4662263544,27973.208487626,35129.0990461323,42870.89423991,53494.9565983061,66379.3308624517
"105",27528.4459945279,22684.6808037429,23971.3683994989,25520.340018807,32758.79117938,40434.3577751854,51392.9206983145,63682.7448869003
"106",29688.2998114793,24547.6648973901,25646.5673223209,27632.1062021268,33806.8399647599,41804.4215088315,51687.4738490127,64755.863977103
"107",31378.5075422435,24050.5495513287,24752.5363737809,27507.9995051917,32617.4174278459,40338.0504232262,50342.400886537,63173.5961561997
"108",29759.9430824921,24114.0975769495,24432.4073136515,25391.9268894632,31331.5203517878,39515.1407123233,49822.7603136444,63069.7981399921
"109",27944.2331022333,23943.9205492149,22847.7680739454,26286.7979494118,30793.2242725837,38636.2770273634,49311.2715196808,61937.9789713417
"110",27848.7292650549,24382.5112678708,24215.902098765,27317.7331008763,32865.6587844626,40641.567494688,51011.5717566351,64185.9175764819
"111",28443.7648405632,24797.4512898097,24051.9749480577,28549.3539367507,32536.7437427835,40233.8504906683,50798.2783397177,64317.5097670048
"112",31513.5391738276,27929.1944235612,26597.6104305725,29304.2285793826,33118.386535927,41855.288511461,51695.5198963275,64197.5874226605
"113",31294.5048369197,27567.0534078801,26534.5362768544,30324.8437134931,34695.9485270566,44255.3571096543,52678.2967197269,65561.4431656126
"114",29670.4168030139,25105.1170897172,24082.5567772403,28326.6404021792,34606.5188283736,43353.1569067503,52410.3931640818,64393.6411082328
"115",30628.2436529483,24374.823235882,25549.5766711867,28495.5546606508,34217.8517609908,42922.4044874097,52728.6015290834,65085.3082642964
"116",32800.0501591882,25875.2924846518,25395.643529425,28080.4030352383,33887.4113157147,42722.0297956743,51936.5795915408,64697.5742021562
"117",34654.3110204064,29428.1927830572,26762.8916542081,29040.2051308224,33443.0043749905,42413.2762347704,52346.1546678252,64961.7562961359
"118",34085.5981943029,33798.3671055255,28977.3829814885,30341.643943927,34591.222980685,42974.1249909946,53338.9087218153,65751.7091402669
"119",31945.1035932192,29109.8527838053,27141.3494353353,30367.3351758578,34959.9249603275,44618.0001520378,54921.1678186442,67768.7940977005
"120",29722.5821314299,28129.6312542641,26264.4076046553,29942.5921898078,36216.3979260938,44560.1540649733,54439.5845675689,67181.4756459434
"121",29639.3407565964,25938.2870061573,26691.3095852124,28267.2651209711,34184.3299708351,43451.9136288123,53360.8310633081,66339.2611443976
"122",28733.4325115274,23463.9537470898,24298.1938141932,26923.9337355217,32835.5762420504,41396.7419503123,51555.2904136777,63837.4602630495
"123",27959.0835547433,24106.7987815432,24630.2987235494,27567.8198477624,33898.8127427225,41255.2555294936,52815.344662113,65330.1936390613
"124",28029.7363045499,24958.4478788766,23877.4650033254,26241.6731482525,31805.2397500429,40420.0996184699,51335.7569245544,64175.5384200883
"125",29069.6384403727,25333.2314715038,24372.7444074631,26844.308700982,33060.8293191777,40364.4775482345,51441.2858876313,63070.0369273994
"126",30305.9173255552,26606.1372260347,26252.0440825308,29685.4373443888,35001.5165738162,42960.4918031828,56093.1179980415,66323.6962411088
"127",30250.9324189126,26105.5381585293,26734.4100143466,28077.7001881264,33589.6325208769,41649.055748979,53165.8457842834,64459.4690486274
"128",33431.7836129108,28975.8247310388,28231.1184734663,30839.6339744219,36108.406287198,44168.5552709617,54626.9788409534,67102.0860249726
