"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",52591.2357309235,25943.5841564949,7727.63154879317,256.790472244706,-5671.78405697044,-8615.18306736115,-8712.89277321375,-3323.83628044512
"2",51580.5907608412,25101.9392186157,5792.10305998558,-3394.34231073144,-7261.10725476926,-9058.63245135275,-5817.65609096344,261.817461421437
"3",49787.8814734367,28299.9819809872,6752.10342141069,-652.188374714147,-4196.82424291687,-6137.84611652863,-4699.36744431609,350.163077884979
"4",53839.7199226714,32183.013149852,8577.03947859443,-397.587058709083,-3955.18794592156,-5729.31637562517,-2911.24497294238,131.09616916212
"5",52363.4812861425,36987.8530751249,18358.1712437046,2543.98707458891,-4159.82254307759,-5238.19153487639,-3075.45482223453,3030.7961843199
"6",52979.6190798427,31773.9019527939,12521.2798046067,4403.73304260884,-1191.18346837714,-2486.08575758057,-2248.56493760778,2712.5133812469
"7",54136.1965542055,23346.4087263548,6527.84647017534,-3223.87869256577,-5786.65306758073,-6699.40908374576,-5203.2498400951,-1823.43039913078
"8",45653.8321534549,20544.5678899525,3050.94781267712,-5676.41728616955,-9499.29610953318,-8791.29314958066,-7311.89538531918,-3678.72841283337
"9",44761.4611202543,20810.8178456716,6084.32877946931,-2256.22361029742,-6634.08277087007,-7220.42285886583,-5253.56689373885,170.218441024612
"10",49535.2241610891,29371.8061282369,13481.3420648676,5984.79352251819,733.793629557535,-733.712913090421,2245.67490988948,3469.27722002428
"11",52326.9605671749,36972.2748379867,22098.4475154917,15545.4593098252,11201.6662438106,4810.30974402749,5865.42930937586,7656.55048074199
"12",51319.795540354,33758.1958105227,19839.2273620983,17415.4262480084,6834.21130791615,-59.9057597536012,-1504.48747388589,2391.51897339687
"13",48912.6844968094,27907.6558452768,16821.2793945383,10992.2344999897,2236.84291856502,1150.14239971657,-428.551181113449,4583.34276974983
"14",47668.3064665025,22990.4968572345,14506.6919718685,5045.717349583,-4848.03611659679,-5962.83365890611,-5889.78368338272,303.046125125067
"15",42564.9772423073,18901.0542150286,5786.67176926655,-5026.00289264824,-8527.75746418627,-11602.4655815399,-8857.68135540995,-5378.68986029203
"16",43648.8021377348,20262.4799265695,6691.17940827587,-4370.74206330897,-7393.36851554579,-10605.0555143565,-7632.9894806388,-3137.31698296113
"17",45370.7739327642,21865.3730279691,9093.64405643308,-2045.00620153668,-5980.11500768545,-10040.4939439888,-7529.61907591183,-2045.60850386594
"18",42771.8774313904,25489.8152691534,10241.297201102,4930.24121361838,3224.48372514085,-4960.95623035886,-3953.92529608319,336.315381685461
"19",44440.2849498798,25209.7959624248,9701.15648537685,1109.26995500547,555.253831826543,-2247.29107999976,-3356.10232256317,2830.70105372898
"20",47052.718042724,28914.6188615822,9376.96914430642,-242.229683839039,-689.03111554413,-3665.79716471938,-3623.21662513517,787.173272366708
"21",45968.1959378456,24398.5209847491,4690.92721048333,-5199.62076154125,-8891.63478118785,-8831.42056426071,-4894.99410275214,131.653626780855
"22",43296.2147238952,22122.0033821466,3612.95224617577,-5896.93563530074,-10761.7273553903,-10823.7032479531,-8149.14448650043,-1786.81115043543
"23",42807.2746595469,23502.7309509472,6233.42811854856,-2540.41628527018,-6231.17207144316,-8033.33777554519,-5923.95448259461,564.048724493521
"24",41505.3336713566,24620.7392475233,6024.97869419033,-4059.7532358776,-4481.13851810795,-6182.96294557292,-2829.96844193149,3038.83923782625
"25",43115.7835611903,26417.1762239836,7322.98813508644,-2289.90804185361,-2143.5920778764,-4432.96792601651,-3976.63296098761,2666.09213120524
"26",51995.5817265364,26134.8014844059,8606.04619648298,694.107531133683,-3205.57051418645,-4788.04726930417,-2689.82771940784,3879.67224046947
"27",63122.1033312292,36397.6686462282,11555.588921258,5722.01544497636,2442.36776669729,3952.71455710319,-33.1698908055405,4378.52341764407
"28",52509.4276860763,33144.01403347,19562.7270310541,9618.85765094535,4320.11553912573,6903.86571786096,14104.9542690059,18535.8678510585
"29",49252.6644113505,27648.3578929152,8977.7502858449,3761.17677799514,-2193.68970355664,947.981076638127,3807.23071946933,8616.51835568804
"30",53195.7480260614,39755.1192303561,21400.3223038912,13953.8791897435,3134.22286811356,2125.06689494272,5514.06438629543,9063.58937336669
"31",51486.6169591733,35342.6533282,26052.4567726104,17013.946457429,5041.23244450628,3389.26070144713,9972.35667833443,12923.8608603374
