"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",28346.9298865563,28810.7206595367,27900.1164993408,28109.7085374251,28290.2448789594,28200.0476056277,27784.540779618,27271.0927860057,26919.9744738696,27165.5657966231,27234.5708456921
"2",28719.5765989493,28298.4729385661,27716.2418362138,27849.1209886506,28098.5570675769,27905.6754068848,27350.575064783,27197.3326976906,27914.4841194034,28583.1445032973,28972.9093262748
"3",28252.0614270582,28764.2629648283,27941.0742234955,28409.4348816403,28690.3104564172,28041.951392496,28189.4313229638,27958.6693815803,28364.6577089889,28406.0754330207,28719.3068494684
"4",27619.0787474638,27691.5329486469,27370.2915960538,27760.5862866268,27819.8167814059,27754.7724596791,28209.4839216175,27650.1493531138,27405.5538444679,27271.2679720476,27463.5886736319
"5",28669.3853897778,28145.8144434514,28145.9499480356,27597.3439553446,27217.7212165696,26927.3891768685,27352.9416366508,27343.6118116244,27741.2595724629,28129.0183316554,28068.6803259061
"6",30616.3070679328,29644.9965040496,28459.7017089213,27572.7135323635,27084.8854682275,27533.1548219895,27490.4880665665,27295.9502384784,27724.6827976302,27912.4341371641,28191.2265072133
"7",28494.1063542752,28025.5566984981,27757.9086865833,27439.3603800108,27120.4217386175,27029.3656821918,26422.8441171124,26618.6161199694,26485.3813018445,26687.3773375182,26732.7310753321
"8",27513.3565855624,27255.4687336907,27596.2483125701,27564.236437488,28182.0469151784,28314.0904255795,28022.8883133767,28487.7202788089,27882.5062176706,27944.2808877102,27815.8094550441
"9",29287.0511759409,29169.7203139205,28746.6113906361,28909.2458721037,29436.6467047509,29797.5291234639,29962.2337548357,30781.7548927445,30091.1067431034,29864.7132034421,29936.5095659069
"10",30914.0755440211,30682.6035871574,29929.8220705798,29768.8020553981,29869.5667377843,30228.4066143617,30143.413365654,30685.6238742739,30515.2046480074,30589.229487683,31374.5129172539
"11",31744.5717609862,32346.4419848526,32840.9591389916,32551.5068743892,31995.5103504397,31573.6085776433,31201.03412022,31400.3311014242,31103.5510350927,30864.4591958096,31326.6010765601
"12",29447.8906368184,28920.0568842267,28761.1787771567,28900.5422201951,28914.5085875149,28334.985118594,28767.5789770946,29714.6445481323,29607.8188511249,29391.2589621071,29992.2963676528
"13",28759.6934670278,28352.4384583061,27778.5314333343,27577.9964702327,27980.3316818693,27761.2728611245,27922.8978457926,28507.6401278315,27897.0685779892,27909.9242690128,28435.5479702355
"14",29013.4390078197,29125.7602559872,28838.6441605538,28155.3213439965,28414.1163267234,27997.058862656,28161.0798000427,27782.5120514569,27459.6878823575,27306.3271238021,27417.1254993283
"15",27371.0563475522,26781.0608632254,27035.0350974527,26660.3812268296,27115.4358356563,27625.6767430542,27727.5461089834,28119.129221744,28528.5582645647,28385.5317370769,28115.0682375897
"16",27140.38078615,27306.6737116231,27597.9383451911,27687.673147851,27715.2891475172,27896.303418049,27016.4543824667,27010.0390073484,26840.704667744,26611.3313471611,26917.4248435485
"17",29699.6320820257,30189.8834998584,29388.9206155021,29404.7383455364,29096.0480013201,29682.7527816391,28846.5370681108,28230.474622426,28240.3489527711,28760.5050038938,28858.2480882016
"18",34287.4470340428,35131.379772086,33286.499469321,33545.2510503392,32829.3000949508,35042.5350934294,35567.5255117831,34620.3293438579,35032.7673126592,34841.3548608667,35053.9430772805
"19",33604.7125265539,33093.2232341379,32255.3457209251,32447.4642592955,32126.2805868603,33130.4428867149,33031.4957308871,33255.7488500928,32838.2198596604,32938.1245775188,33046.1218298666
"20",34141.2186286717,33224.6501670333,33234.8580392261,33463.1945541572,33407.4481133588,33104.2231591917,33778.5426660243,34471.0899161174,34204.3822273478,33959.0473773042,33954.6743878376
"21",31500.2726870857,30649.8514842188,30188.16721554,30236.3666257228,30250.1838701759,29802.799416054,29718.974805579,30623.608478985,30800.62887818,30755.0120816314,30928.1757156127
"22",33046.497905528,32735.195133723,31607.7058358866,31186.9417654574,30792.9403157092,30849.9629809742,30750.1512862077,30768.1832691997,30913.4351367119,30891.3090272486,30735.9004046524
"23",33549.9689649853,33384.4399471518,33360.3365845288,33370.5230358093,32166.259689386,32346.1127322024,32633.1822059358,33008.9510875583,33052.1335512833,33103.1168588185,32837.5789592608
"24",31944.4330872813,32244.5014486928,32124.6322949839,32079.717990602,30851.0258702637,30522.4173139242,30147.6099483884,30701.1971290977,30150.124673685,30405.0899212866,30403.088971808
