"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",-8167.05880988445,-8233.7418507703,-7505.92689097773,-8453.65725283077,-7913.16374681707,-8615.18306736115,-8662.74732973315,-9193.6046723134,-8817.48407845769,-8910.47072211382,-9597.58577904185
"2",-8735.29196249421,-9282.2829443765,-8854.52158641744,-9670.24668594427,-8841.28783980889,-9058.63245135275,-8074.36702612261,-9116.46057315967,-8799.45060078508,-7987.17776168307,-7838.22418115257
"3",-4400.87024136785,-4203.9338917304,-3747.05333589831,-6119.64451894622,-5753.32950629516,-6137.84611652863,-5947.47175887723,-7748.55005829513,-8377.91916705027,-7389.52412740147,-6685.11242746671
"4",-4401.53762765625,-4654.10411243325,-4850.81597180084,-5425.93514416488,-5731.6109502953,-5729.31637562517,-5111.55764544293,-6477.88361097429,-5721.03261607466,-4356.82283854939,-3446.75655230276
"5",-4922.22794174025,-4828.67240355154,-3424.76546622538,-4461.47551099917,-5315.98522351696,-5238.19153487639,-5401.36957534418,-6095.01908218118,-4833.46267024436,-4862.77346001961,-4440.82471710107
"6",-903.625275378792,-1867.74307930294,-738.343206234305,-1211.39720046942,-2006.08820501308,-2486.08575758057,-3041.9685454814,-3682.63762724838,-2711.30279278332,-2432.66138729054,-2521.83565419796
"7",-7262.72067539235,-6810.55419419579,-5906.27822381556,-6591.06578309312,-6457.2353518353,-6699.40908374576,-6533.95375999124,-7528.53236082447,-6668.580542531,-6721.7544033528,-6262.52868977901
"8",-9619.92459345198,-9623.74810261842,-9054.33232142644,-9235.34752435222,-8368.20403413481,-8791.29314958066,-9285.03889794554,-9684.61849676686,-10088.2191038035,-10081.0474571049,-9719.85487059878
"9",-7534.72713958014,-8660.1282793098,-8501.9762370012,-8868.02074353932,-7691.51520428313,-7220.42285886583,-7499.67465015205,-6752.75479450222,-7414.19148133264,-7537.66315126145,-7384.17938165749
"10",-1783.72881203359,-2793.52680137169,-3866.74007404842,-3297.21201306204,-1985.45203725274,-733.712913090421,-1445.86977429523,-778.837899432743,-1698.20323301615,-1743.15407741602,-1020.66099699649
"11",10075.3125205944,8185.08349058353,7584.93757179914,6731.16209374398,7158.30282927352,4810.30974402749,3625.60338326805,4335.57584291616,5100.19510831821,6076.76943721855,6913.77853478931
"12",5708.56961282444,3442.63390204499,4367.90004930958,3268.15440294604,2875.94889117135,-59.9057597536012,-235.078090845745,-219.272151314559,-1468.38175658735,-1492.43447936446,-1077.15224767612
"13",3430.99315213506,2392.54881211179,2685.40043445402,2081.28151091646,2632.31695748577,1150.14239971657,377.937609338791,618.327528938658,727.38919731466,303.769107342421,99.6925407626113
"14",-5357.4278807474,-6373.38410465692,-6120.04566846702,-6277.85260417838,-5883.1048427795,-5962.83365890611,-5923.93870371779,-4684.76624407904,-4963.83544643093,-5771.61154752204,-4872.61759188752
"15",-9861.73699594451,-11444.8443820268,-11945.7887201757,-11512.7265596618,-11375.8445759925,-11602.4655815399,-11677.2338712776,-11007.7562362495,-11215.7663243382,-11370.4653866969,-10378.247766624
"16",-9139.06369813398,-10233.2442116767,-10094.0718547055,-9585.96743176993,-9769.17905871363,-10605.0555143565,-9662.51451043026,-9110.501463582,-9441.36206621987,-9382.27402651269,-8278.27139206107
"17",-8506.60966280151,-9618.52757911185,-9255.6461070309,-9090.06593072165,-9790.24797981507,-10040.4939439888,-9936.50466384379,-10527.4742808388,-9543.89849066763,-9914.35260308615,-8896.14847375573
"18",388.756582417082,-2220.40118593224,-2710.44942354302,-4923.43267234747,-5106.26411594734,-4960.95623035886,-5159.06399662773,-5386.53054788932,-5508.51910968696,-4251.89474722449,-4026.37708828464
"19",-3035.48474845404,-4209.73083835415,-3557.77027142304,-3843.74804471539,-3791.8453232417,-2247.29107999976,-2577.84413783724,-2506.8911244624,-2970.06223296411,-2805.76122253058,-2649.15315579118
"20",-3896.22292147889,-3746.94654743082,-3632.11618983619,-4972.71582477028,-4905.08758721699,-3665.79716471938,-4331.89910220405,-3811.34052123798,-3107.04942626826,-3434.64703244451,-3119.77433281972
"21",-8817.87223867863,-9040.36377860416,-9415.73050672993,-9022.99307395133,-9679.70896516983,-8831.42056426071,-8620.24602536044,-9013.45952186296,-7897.66150352073,-7622.7434195563,-6382.60226391324
"22",-10404.0106410507,-10058.7892166583,-10530.1790313531,-10556.2983853955,-10798.0798766949,-10823.7032479531,-10259.6305921867,-10082.1993009092,-9339.26633796939,-9635.23307349792,-8780.87937102818
"23",-8051.52020245483,-8096.44909504821,-9110.70026520356,-9020.40132288055,-8460.37009718971,-8033.33777554519,-7563.92294976649,-7642.91457462051,-6898.364300257,-7123.23111262283,-6890.26274677897
"24",-5549.81256181765,-5834.13769802116,-5992.26702390115,-6136.62588399171,-5673.26586058808,-6182.96294557292,-5724.73794456552,-6426.02946458491,-5652.08621165278,-5818.41971224707,-5284.82607667027
"25",-3033.52390067303,-3248.0611099755,-4049.39155087527,-4423.45475881811,-4039.99923879619,-4432.96792601651,-4354.83712090305,-4755.19275156259,-4827.17210271535,-4946.45567214412,-4915.11390874251
"26",-4374.88777369761,-3753.20948815869,-5332.42159890129,-5228.99055947857,-4954.39099278053,-4788.04726930417,-4908.14757598981,-5130.03794190053,-5470.53856672033,-4921.08463652965,-4576.21930585433
"27",2668.94503191986,3515.18094749397,1555.62519992045,2212.53275157809,3450.86120730812,3952.71455710319,2063.04465944823,935.285907102145,895.65054240435,1261.08845827208,683.963402801062
"28",5291.05398713364,5146.56260922035,5810.84858231878,5840.11832158914,6514.16931098792,6903.86571786096,7243.32668755334,7031.95952565928,7362.60479812344,7873.32467891282,8011.43855617126
"29",-692.511130271807,-144.773581831068,306.240123970681,825.603203551414,1080.91606644783,947.981076638127,640.724319068577,11.1319063055053,407.096018583652,136.157339532801,1053.37425955092
"30",755.954176218213,1173.24487841511,2120.08212040247,3202.74011916723,2399.96590520275,2125.06689494272,2245.28345659016,1405.89014932724,1344.62758156221,1682.96545571124,1816.66543983718
"31",2750.6849204364,2054.50318751953,2399.96422811762,3094.42543744675,2538.11138379375,3389.26070144713,4707.9070770711,4187.39179198984,4388.23996907791,5516.11852891173,6403.5165127667
"32",-4510.15051207414,-4717.46720650192,-5814.35014674718,-5335.1633428581,-5726.39508997108,-5104.82841179776,-5824.68186485463,-5760.42068276848,-5294.6365529285,-5333.35662942214,-5587.32916054803
"33",-8966.26075552313,-8790.71759097461,-9841.30771183774,-8201.9723578089,-7983.1395351498,-7886.85246704388,-7772.32356733799,-7577.28602095521,-7501.27640322636,-7776.55887740687,-7268.01238991182
"34",-6760.77088251584,-6661.62669578587,-8231.87242924586,-7601.46122613269,-7817.30881738783,-6805.23270894578,-7049.98071091114,-6961.66297383262,-7128.24245900558,-7301.22341747282,-7319.62590858743
"35",-7017.88450868065,-6747.97700350085,-7830.31674145533,-8190.00624319912,-7700.15407018623,-7783.33858950379,-8967.60175910331,-9277.79738238418,-8904.43996460147,-10097.9629769479,-8769.6544121683
"36",-9956.06140508311,-10388.5442673744,-11483.106001769,-11735.399035215,-11427.8306011637,-11207.0189345567,-11181.6995710957,-10873.7127887314,-9212.84574157662,-9697.18576584314,-9362.86809112898
"37",-8628.37097530693,-10433.3135432749,-10581.1132747443,-11361.2931756344,-10948.2497481922,-11387.7721697809,-10776.8160790382,-10997.1678515019,-10151.1054894858,-10005.4764707215,-10054.3578663514
"38",-10393.1210104062,-11293.5199063232,-11194.3509343504,-11698.2113469531,-11020.7660583671,-12320.7206080214,-11742.7453425195,-12328.9388838227,-12266.931471991,-12103.1699723139,-11186.1679090613
"39",-10249.6768972294,-10495.6955935504,-11117.3838057083,-11004.7102868947,-11341.9178812314,-11569.3002493311,-10401.4480903304,-10770.5919706077,-10503.1737374028,-10023.2731161786,-9221.98662255971
"40",-7880.60869840341,-7114.96728868649,-7929.58734010464,-7183.48871673503,-6561.15554721453,-6832.15023693957,-6607.14297478491,-7215.67755394964,-7493.09316293606,-7166.22767554625,-6914.06731531968
