"","","","","",""
"1",-12474.0478455328,-12849.9173243602,-12937.2843699147,-13010.7619436279,-13005.9212094036
"2",37830.6671265678,35775.3241011693,35092.8259173895,35068.858248886,35087.3527923466
"3",5347.99351605162,5050.88429141684,5053.16764178596,5071.70453653329,5089.27214758743
"4",37453.7028509022,37036.2618410494,36297.8993251675,36219.7967794494,36233.0917211871
"5",38365.853544728,33937.1342887252,33937.7662062165,33833.1993789605,33833.3455455981
"6",-11083.272820161,-11172.7429033552,-11229.9097842158,-11218.735021794,-11209.6165420245
"7",-4676.84910660373,-6261.31253893915,-6344.49217040578,-6407.02830812441,-6434.51972002078
"8",-14716.5688386167,-16164.3391226796,-16413.4921766634,-16401.4705441079,-16391.7921903677
"9",51291.1874863845,42321.5309788631,41865.977057306,41832.1914327598,41849.4152735154
"10",-10694.5442896155,-14404.3043124557,-14581.7263588877,-14583.347329145,-14574.4607650534
"11",43072.3978191579,42210.2175386138,42011.6206143649,41937.4035245431,41943.1703778982
"12",40940.2520458735,38533.2763335137,38283.1946464043,38154.2023520467,38131.3450038067
"13",33064.4190467797,33054.309466437,33054.4426086426,33064.8403656283,33079.3592175051
"14",40399.9465657963,40209.5106267331,40218.1283361451,40210.309963677,40221.8574999122
"15",-10825.4912736718,-11200.8898180074,-11239.5680876242,-11292.9352486078,-11297.8207872128
"16",-14300.4063136176,-14490.0399623168,-14475.7589180174,-14475.0416379121,-14458.3557136893
"17",-11328.7879526847,-11414.4223155915,-11626.7265951369,-11627.3607891192,-11618.9569183677
"18",-18716.7424491475,-21286.5469680056,-21343.3124738512,-21410.579346657,-21417.487593412
"19",-14335.6905279305,-19893.4648276548,-20147.037721173,-20130.467141802,-20118.6279887475
"20",-9969.34461704171,-12482.2155014608,-12473.2708512686,-12526.4721587951,-12514.4080513348
"21",-1698.52903870715,-3331.28349704377,-3327.89229130644,-3372.17786328957,-3359.439029373
"22",6462.71706089526,5768.6107387078,5704.0960149665,5717.54626240152,5722.03880403488
"23",-14831.1930715932,-20043.5484892492,-20154.848985919,-20151.4484566548,-20150.4412940412
"24",43198.4946947687,43051.2317414331,42957.1080709388,42966.6896754816,42983.9302216522
"25",-5765.65084270082,-14792.267825284,-14933.8428829296,-14967.5659458682,-14951.5070970775
"26",-19839.9345020132,-20412.2094564132,-20485.0377093437,-20562.5361616523,-20558.4306448848
"27",2456.37868418296,-1848.76492234227,-2465.99720116595,-2571.06560619097,-2552.97730500322
"28",-14335.0652383081,-18872.0786736621,-19136.1716401062,-19198.0568381273,-19222.795639036
"29",42042.6147529739,40104.5340127719,40096.5320555697,40097.0337474544,40115.7809274401
"30",-10758.3017161594,-10872.1569393645,-10868.9029467614,-10980.6399172269,-11004.290261299
"31",46754.7575991918,43266.98603975,43131.9551692634,43141.2614616877,43156.6654319165
"32",32832.4733731355,29725.8552452483,29085.0511532174,28940.3893366656,28953.6613730112
"33",38102.3242478149,36157.5155109792,36130.3637184421,36058.6538901517,36060.828067879
"34",7153.52840018279,6527.79926268272,6533.62327176339,6538.49721757887,6555.41244051673
"35",32661.868182154,30314.3245388725,29788.9020519317,29784.954735536,29772.300669835
"36",3092.31417114521,2385.34915244884,2072.942529012,2090.37796388683,2075.42173285783
"37",-17355.8889502861,-20209.3575986553,-20280.6280606904,-20299.6931823429,-20292.2831719277
"38",-13246.8082572249,-13768.1739889719,-13858.0636298671,-13839.6690217179,-13826.5000517635
"39",-7623.35461104037,-7873.01879825175,-7862.08290247342,-7855.70227522971,-7837.60815972827
"40",-15308.4559046982,-15923.4281459079,-16378.7592805469,-16409.5197125239,-16392.7009077637
"41",-9495.35895000306,-10450.9456957836,-10434.8404699818,-10413.3498675442,-10403.5623658064
"42",41381.4633276154,39237.1258800301,39017.5265667215,38902.351894585,38885.4200719151
"43",-24447.50353795,-26739.0438698627,-26911.4588405622,-27022.4427450701,-27025.213876353
"44",50366.7405751097,41340.5554506184,40827.7286053755,40792.2325042239,40809.3275445688
"45",-10743.672055604,-15157.8684758084,-15332.8634301945,-15430.0934105359,-15415.5781749307
"46",-18257.7147342476,-18751.8176095702,-18834.7531659034,-18857.1035948016,-18862.0750571723
"47",20763.1394578794,19059.739586366,19026.1816609694,19008.304277253,19014.8435796378
"48",-4440.51102112506,-7055.07964146791,-7140.18145880918,-7153.00892790463,-7137.20235093395
"49",-8648.4902922179,-13249.6201950409,-13344.6743407915,-13326.0562565401,-13308.0875866853
"50",-9247.6346191072,-10606.8881905129,-10642.5125576588,-10632.2397509456,-10626.2925903687
"51",-2315.77165039147,-6056.50508310828,-6250.35362091245,-6328.51668021231,-6311.19710792442
