"","x"
"result.1",5.05793769582422
"result.2",5.05794642390576
"result.3",5.05794284698026
"result.4",5.05793511308362
"result.5",5.0579429934499
"result.6",5.05794490356255
"result.7",5.05794185380824
"result.8",5.05794015354943
"result.9",5.05794043138965
"result.10",5.05793457470888
"result.11",5.05793115459473
"result.12",5.05793500858491
"result.13",5.05794024589134
"result.14",5.05793245150272
"result.15",5.05793934993078
"result.16",5.05793833263475
"result.17",5.05781054944827
"result.18",5.05738859501941
"result.19",5.05708510997399
"result.20",5.05701437157321
"result.21",5.05694997813547
"result.22",5.05693483833508
"result.23",5.05689462900656
"result.24",5.05685448093691
"result.25",5.05685801771098
"result.26",5.05686145832176
"result.27",5.05683739969872
"result.28",5.05685265441079
"result.29",5.0568125288587
"result.30",5.05679936149834
"result.31",5.05678396532149
"result.32",5.05679470738283
"result.33",5.05676657969866
"result.34",5.05666562864317
"result.35",5.05666238385719
"result.36",5.05667708813395
"result.37",5.05668042604579
"result.38",5.05666323772724
"result.39",5.05666511934785
"result.40",5.05666506956715
"result.41",5.05664418404188
"result.42",5.05664541139769
"result.43",5.0566431675504
"result.44",5.05663646713133
"result.45",5.05664292072666
"result.46",5.05662021392305
"result.47",5.05662987557941
"result.48",5.05661848768572
"result.49",5.0566147073066
"result.50",5.05661868910868
"result.51",5.05661157765683
"result.52",5.0566255584164
"result.53",5.0566327690183
"result.54",5.05662532008869
"result.55",5.05663018452223
"result.56",5.05662740357031
"result.57",5.05663064405836
"result.58",5.05662892227277
"result.59",5.056643958003
"result.60",5.05663538893382
"result.61",5.05663579433693
"result.62",5.0566304514252
"result.63",5.05664598295689
"result.64",5.05663237280819
"result.65",5.05662988946578
"result.66",5.05663810947566
"result.67",5.05661184844729
"result.68",5.05662648019167
"result.69",5.0566136447498
"result.70",5.05663259355936
"result.71",5.056607157393
"result.72",5.0566246825134
"result.73",5.05661593679066
"result.74",5.05662748568299
"result.75",5.05663129171271
"result.76",5.05664739614804
"result.77",5.05664170744914
"result.78",5.05662498191457
"result.79",5.05662322872707
"result.80",5.05663325469673
"result.81",5.05663132754167
"result.82",5.05664547079163
"result.83",5.05664249833516
"result.84",5.05666356628246
"result.85",5.05664503697396
"result.86",5.05665441494795
"result.87",5.05666916351108
"result.88",5.05664396136486
"result.89",5.05664747128873
"result.90",5.056649525014
"result.91",5.05665232373078
"result.92",5.05668186760156
"result.93",5.05666460359022
"result.94",5.05667276398745
"result.95",5.056663280639
"result.96",5.05667798415231
"result.97",5.05668573549968
"result.98",5.0566919310804
"result.99",5.05669017594509
"result.100",5.05668150737844
"result.101",5.05665920014193
"result.102",5.05660108107443
"result.103",5.05627903224803
"result.104",5.05611868620907
"result.105",5.056060101054
"result.106",5.05602555267923
"result.107",5.05602814819869
"result.108",5.05600471874808
"result.109",5.05603043201914
"result.110",5.05597236361123
"result.111",5.05598494886151
"result.112",5.05596343587369
"result.113",5.05594602384556
"result.114",5.05595293411354
"result.115",5.0559688425815
"result.116",5.05600022442324
"result.117",5.05600721804464
"result.118",5.0560087850807
"result.119",5.05606230814664
"result.120",5.05607495716769
"result.121",5.05609433503561
"result.122",5.05611447962736
"result.123",5.05614146020022
"result.124",5.05617011852801
"result.125",5.05615161431297
"result.126",5.05616686412775
"result.127",5.05621800917163
"result.128",5.05621751919712
"result.129",5.05623009857146
"result.130",5.05628911693724
"result.131",5.0563189764329
"result.132",5.05633685360827
"result.133",5.05636089389808
"result.134",5.05640965340657
"result.135",5.05654986742024
"result.136",5.05657189559386
"result.137",5.05664092230866
"result.138",5.0565827924557
"result.139",5.0566364997546
"result.140",5.05679420207347
"result.141",5.05687933780877
"result.142",5.0569512092405
"result.143",5.05695583059176
"result.144",5.05699843503374
"result.145",5.05708084939453
"result.146",5.05708153060852
"result.147",5.05709011467617
"result.148",5.05707776252108
"result.149",5.0570699830575
"result.150",5.05707954329225
"result.151",5.05709107307945
"result.152",5.05707901895705
"result.153",5.05707450662788
"result.154",5.05707632404473
"result.155",5.05707940062432
"result.156",5.05709811226626
"result.157",5.05710399096534
"result.158",5.05708294740865
"result.159",5.0571006579657
"result.160",5.05713030981341
"result.161",5.05714047409329
"result.162",5.05710220328021
"result.163",5.05710917275503
"result.164",5.05710810967336
"result.165",5.05712476292806
"result.166",5.05715678760054
"result.167",5.05715094199689
"result.168",5.05716531276047
"result.169",5.05719018068361
"result.170",5.05719604652454
"result.171",5.05718489443038
"result.172",5.05719507000877
"result.173",5.05719244766725
"result.174",5.05721336435553
"result.175",5.05723009068804
"result.176",5.05727170604055
"result.177",5.05729988357153
"result.178",5.05731527772744
"result.179",5.05732694367544
"result.180",5.05737192289283
"result.181",5.05741015415475
"result.182",5.05745535605868
"result.183",5.05749022181856
"result.184",5.05754183857414
"result.185",5.05761740453084
"result.186",5.05769929504823
"result.187",5.05782650051061
"result.188",5.05792987936107
"result.189",5.05794433942117
"result.190",5.05793961751704
"result.191",5.05793837301045
"result.192",5.05794238950972
"result.193",5.05794115922466
"result.194",5.05794375476412
"result.195",5.05794169576616
"result.196",5.05794264474699
"result.197",5.05796333270639
"result.198",5.05795608140258
"result.199",5.05794323891859
"result.200",5.05795341241771
"result.201",5.0579524226796
"result.202",5.05796838429988
"result.203",5.05796083456431
"result.204",5.05796253948292
"result.205",5.0579622498017
"result.206",5.05797238302446
"result.207",5.0579684891637
"result.208",5.05796848778368
"result.209",5.05796282814966
"result.210",5.0579625519181
"result.211",5.0579549639991
"result.212",5.05795470391995
"result.213",5.05796149271457
"result.214",5.05795996119578
"result.215",5.05795675331548
"result.216",5.05795793672623
"result.217",5.05797713622175
"result.218",5.05796003524182
"result.219",5.05797312676183
"result.220",5.05795972935924
"result.221",5.05795466594668
"result.222",5.05795777683174
"result.223",5.05796155580977
"result.224",5.05795885722897
"result.225",5.05796573080124
"result.226",5.05796986289765
"result.227",5.0579683317218
"result.228",5.05797827229716
"result.229",5.05795193455444
"result.230",5.05795748060702
"result.231",5.05795700137136
"result.232",5.05797152502678
"result.233",5.05796493826489
"result.234",5.0579631482678
"result.235",5.057975013362
"result.236",5.05796229756408
"result.237",5.05796073689747
"result.238",5.05796005656801
"result.239",5.05796142185123
"result.240",5.05796856063207
"result.241",5.05795458762198
"result.242",5.05794673283933
"result.243",5.05794946221855
"result.244",5.05794834012987
"result.245",5.05794112632022
"result.246",5.05796203820404
"result.247",5.05794604024083
"result.248",5.0579483772726
"result.249",5.05794491016584
"result.250",5.05794532006363
"result.251",5.05794537711583
"result.252",5.05796989439579
"result.253",5.05796033852455
"result.254",5.05794812825567
"result.255",5.05794361125603
"result.256",5.05794866726177
"result.257",5.0579479063888
"result.258",5.05794407148934
"result.259",5.05793922744227
"result.260",5.05794045864016
"result.261",5.05794155357282
"result.262",5.0579402398397
"result.263",5.05794188245303
"result.264",5.05794110462723
"result.265",5.05795395266615
"result.266",5.05795232556774
"result.267",5.05795359402221
"result.268",5.05795009277793
"result.269",5.05794689644921
"result.270",5.05794342361021
"result.271",5.05793948995467
"result.272",5.0579226186132
"result.273",5.0579439531551
"result.274",5.05796274329666
"result.275",5.05796523865869
"result.276",5.05795942219904
"result.277",5.05798224658512
"result.278",5.05795217321825
"result.279",5.05794042121788
"result.280",5.05793365303456
"result.281",5.05794277156843
"result.282",5.05794830793327
"result.283",5.05794492261241
"result.284",5.0579406070015
"result.285",5.05794193075993
"result.286",5.05794725347715
"result.287",5.0579542106753
"result.288",5.05794090417283
"result.289",5.18701400424965
"result.290",5.18426820980329
"result.291",5.18187434602519
"result.292",5.17937174424597
"result.293",5.17626384071315
"result.294",5.17329647099344
"result.295",5.17026016306118
"result.296",5.16709387987445
"result.297",5.16416513202278
"result.298",5.1608906377027
"result.299",5.15753623790912
"result.300",5.15362695105998
"result.301",5.15008725361851
"result.302",5.14619193635549
"result.303",5.14306192607382
"result.304",5.13991874078374
"result.305",5.13632844264253
"result.306",5.13308896266448
"result.307",5.12972076497703
"result.308",5.12621502748189
"result.309",5.12286463741124
"result.310",5.11985970477847
"result.311",5.1169295595585
"result.312",5.11395436675197
"result.313",5.11142413417801
"result.314",5.10923025988722
"result.315",5.10666903471949
"result.316",5.10439013762346
"result.317",5.10193557161715
"result.318",5.09932040265477
"result.319",5.09680549346468
"result.320",5.0939575081494
"result.321",5.09111230028627
"result.322",5.08808703700686
"result.323",5.08522350531458
"result.324",5.08245211075399
"result.325",5.07964364011443
"result.326",5.07680129394442
"result.327",5.07433085275835
"result.328",5.07223090432404
"result.329",5.06985024642874
"result.330",5.06805179809092
"result.331",5.06566964823772
"result.332",5.06315257222527
"result.333",5.06099601753753
"result.334",5.05945985888994
"result.335",5.057840701075
"result.336",5.05616884306366
"result.337",5.0543637244248
"result.338",5.05302639701667
"result.339",5.05152438443269
"result.340",5.05044357832213
"result.341",5.04921795698845
"result.342",5.04810158257493
"result.343",5.0465065207203
"result.344",5.04500216138792
"result.345",5.04426125027303
"result.346",5.04309244707338
"result.347",5.04194148378525
"result.348",5.04086552211383
"result.349",5.0394303563447
"result.350",5.03853488713598
"result.351",5.03740597252653
"result.352",5.0363860945423
"result.353",5.03543421046017
"result.354",5.03396502975572
"result.355",5.03244576253834
"result.356",5.03078322374069
"result.357",5.02951506212444
"result.358",5.02835536558797
"result.359",5.02777969576563
"result.360",5.02750702005142
"result.361",5.02731466774881
"result.362",5.02678605003305
"result.363",5.02674507075191
"result.364",5.02697965267068
"result.365",5.02670770149787
"result.366",5.02658334922577
"result.367",5.02635264758712
"result.368",5.02598759095681
"result.369",5.02531809182142
"result.370",5.0246061845659
"result.371",5.02437608077146
"result.372",5.02383393155847
"result.373",5.02280848483382
"result.374",5.0221505181249
"result.375",5.0218850529387
"result.376",5.02111740045609
"result.377",5.01991199059237
"result.378",5.01820336155768
"result.379",5.01667145703311
"result.380",5.014945279763
"result.381",5.01376248733362
"result.382",5.01239357338024
"result.383",5.01076964530205
"result.384",5.00942046971312
"result.385",5.00733173827472
"result.386",5.00560472202624
"result.387",5.00328029564077
"result.388",5.00127712560908
"result.389",4.99852882967261
"result.390",4.99642625169618
"result.391",4.99450964387211
"result.392",4.99183954854722
"result.393",4.9896926715891
"result.394",4.98684556095644
"result.395",4.98425531599778
"result.396",4.98148353434958
"result.397",4.97827038959284
"result.398",4.97419610382387
"result.399",4.97076073426213
"result.400",4.96805904661616
"result.401",4.964822766296
"result.402",4.96175664895737
"result.403",4.95782605602812
"result.404",4.95353096984714
"result.405",4.94940167316512
"result.406",4.94454464520434
"result.407",4.94009740548761
"result.408",4.93499305837521
"result.409",4.93099982899961
"result.410",4.92681827506611
"result.411",4.9228814655858
"result.412",4.91907517574262
"result.413",4.91599473894509
"result.414",4.91305198876681
"result.415",4.91080409720004
"result.416",4.90800316280238
"result.417",4.90586087762111
"result.418",4.90410268839387
"result.419",4.90229994029946
"result.420",4.90079297045212
"result.421",4.8995234363013
"result.422",4.89764896275281
"result.423",4.89613007053188
"result.424",4.89437046092281
"result.425",4.89289640457635
"result.426",4.89092726268281
"result.427",4.88887627193395
"result.428",4.88734915362684
"result.429",4.88558035181254
"result.430",4.88354119628208
"result.431",4.88148271999915
"result.432",4.87967058403508
"result.433",4.87781186963971
"result.434",4.87635360640518
"result.435",4.87518799618568
"result.436",4.87534975505066
"result.437",4.87495856887543
"result.438",4.87487160003372
"result.439",4.87550895554921
"result.440",4.87666641553303
"result.441",4.87734081934746
"result.442",4.87846863300402
"result.443",4.87943144565524
"result.444",4.88068744753811
"result.445",4.88191190064222
"result.446",4.88267460053418
"result.447",4.88386587386471
"result.448",4.88511961460121
"result.449",4.88655222705
"result.450",4.88798533044533
"result.451",4.890167839795
"result.452",4.89191407217641
"result.453",4.89275639170481
"result.454",4.89322384723618
"result.455",4.89359134689913
"result.456",4.89378160727374
"result.457",4.89293876003955
"result.458",4.8921924953295
"result.459",4.89123159772352
"result.460",4.88963767623726
"result.461",4.88842346450963
"result.462",4.88656151912815
"result.463",4.88495879966613
"result.464",4.883597686568
"result.465",4.88228381489968
"result.466",4.88114297502884
"result.467",4.87975600664014
"result.468",4.87882757860374
"result.469",4.87812038722739
"result.470",4.87749774316485
"result.471",4.87721778272765
"result.472",4.87737339801274
"result.473",4.87709037720115
"result.474",4.87741789617556
"result.475",4.87805887389651
"result.476",4.87899937593744
"result.477",4.88047486578677
"result.478",4.88231608543997
"result.479",4.88415250843907
"result.480",4.88660549980036
"result.481",4.88938301389451
"result.482",4.89215738178122
"result.483",4.89515233721526
"result.484",4.89898627580817
"result.485",4.90315073678696
"result.486",4.90721069241448
"result.487",4.91160368311955
"result.488",4.9165343454124
"result.489",4.92186723055388
"result.490",4.92695054819357
"result.491",4.93241476352038
"result.492",4.93773170823641
"result.493",4.94350736551142
"result.494",4.94934431313694
"result.495",4.95532458513404
"result.496",4.96181537697024
"result.497",4.96781905321509
"result.498",4.97435968538646
"result.499",4.98128309941189
"result.500",4.98834496997965
"result.501",4.99567878590948
"result.502",5.00338044373261
