"","V1","V2","V3","V4","V5"
"result.1",-52931.5366863229,-51401.7972597567,-49428.3157135306,-47154.0696178016,-44541.3967045418
"result.2",-60183.3299570084,-58677.2570493895,-56854.8225567879,-54760.5128076768,-52300.6933203539
"result.3",-52617.5809561477,-51098.4256678513,-49107.9774437617,-46775.100197238,-44149.098273481
"result.4",-60345.5151461851,-58910.3638939146,-57130.1506799006,-55024.131298538,-52431.7591600167
"result.5",-59294.649450728,-57817.8539434021,-55952.9314728367,-53755.1552951085,-51111.1736536119
"result.6",-58394.2460220176,-56816.0591530994,-54763.1408094445,-52414.8718579039,-49798.6615630157
"result.7",-51540.2033423897,-50113.2701108491,-48304.2051605493,-46167.2284030994,-43706.5228088
"result.8",-62145.147550788,-60518.9582883142,-58444.0978164816,-56110.2020647582,-53503.7039611153
"result.9",-61850.6383934699,-60375.009075539,-58457.4366152687,-56112.4379904979,-53331.3241310992
"result.10",-60869.2008113852,-59473.1651735074,-57678.3245589987,-55576.6009598752,-53092.3833726626
"result.11",-58512.7641558096,-57008.8463259052,-55144.6410126796,-53097.180187275,-50804.0763345218
"result.12",-49140.6538320634,-47554.6636618228,-45413.1772373281,-42896.8212098033,-40095.2571803689
"result.13",-60852.3690557928,-59418.2898653226,-57577.0080639342,-55447.7588603147,-53031.10774425
"result.14",-60298.6698454052,-58741.654978102,-56743.7254917779,-54470.9922447912,-51893.3724413035
"result.15",-60049.4520150317,-58628.6649793566,-56807.8104384626,-54689.9262186318,-52224.5852988224
"result.16",-58452.7068449385,-57021.2208530667,-55213.9718116694,-53185.8327253601,-50879.198399781
"result.17",-58308.7665884222,-56774.7049354097,-54789.3249942731,-52489.2985446328,-49873.2348787469
"result.18",-58338.828489621,-56884.2175056688,-55017.5247008768,-52899.0543695443,-50559.7372335572
"result.19",-55979.3470501737,-54382.1772523879,-52303.9115201333,-49966.2667407766,-47415.448882307
"result.20",-47901.972215792,-46321.852469627,-44270.7726790423,-41922.4298158193,-39271.4802960178
"result.21",-58643.9741672209,-57146.7741032554,-55258.1972559914,-53112.973891661,-50736.3928357468
"result.22",-58058.4520974272,-56496.0973817529,-54421.6746017294,-52019.0140485229,-49308.6686353046
"result.23",-57091.564371783,-55560.4038411176,-53595.4595261906,-51372.406670346,-48917.2282497027
"result.24",-62341.1201193613,-60955.0105709202,-59168.5238144723,-57076.5174587827,-54675.4413315338
"result.25",-61468.0259745022,-60217.8690562334,-58765.3125744566,-57114.242232787,-55103.7659421997
"result.26",-56265.1117655698,-54686.0740451935,-52606.9279658666,-50273.5392519121,-47796.8736087857
