"","x"
"1",33831
"2",40243
"3",26646
"4",42255
"5",51080
"6",23453
"7",45774
"8",13485
"9",924
"10",29768
"11",52073
"12",54538
"13",17954
"14",46123
"15",19636
"16",29509
"17",23181
"18",26267
"19",9060
"20",24567
"21",9568
"22",19309
"23",25063
"24",5949
"25",29172
"26",11589
"27",40467
"28",11767
"29",6051
"30",35268
"31",2207
"32",39195
"33",51638
"34",7966
"35",41762
"36",29019
"37",35117
"38",19086
"39",22394
"40",35637
"41",18588
"42",54487
"43",13332
"44",413
"45",37841
"46",23948
"47",24738
"48",48383
"49",17256
"50",17710
"51",42505
"52",55092
"53",19176
"54",20956
"55",19785
"56",14364
"57",28185
"58",40265
"59",39658
"60",25995
"61",15245
"62",2580
"63",38602
"64",21042
"65",39643
"66",6032
"67",34682
"68",42044
"69",1703
"70",26242
"71",28456
"72",51906
"73",21663
"74",25816
"75",4072
"76",27678
"77",53157
"78",48406
"79",51696
"80",39351
"81",15190
"82",16453
"83",45551
"84",15161
"85",20679
"86",2043
"87",12100
"88",8442
"89",26152
"90",54785
"91",2059
"92",45522
"93",26558
"94",20021
"95",54665
"96",49940
"97",16484
"98",35955
"99",33849
"100",12043
"101",32958
"102",31294
"103",55091
"104",30638
"105",5164
"106",16804
"107",46709
"108",14807
"109",46907
"110",10907
"111",44264
"112",41168
"113",50534
"114",23650
"115",38430
"116",6229
"117",29386
"118",41066
"119",43250
"120",12903
"121",21198
"122",51180
"123",12856
"124",37628
"125",42943
"126",15557
"127",52988
"128",53981
"129",53699
"130",689
"131",8909
"132",23271
"133",22501
"134",29884
"135",20659
"136",41817
"137",37725
"138",52200
"139",25944
"140",23303
"141",24840
"142",36844
"143",54088
"144",91
"145",15575
"146",21335
"147",46659
"148",34770
"149",54780
"150",1805
"151",44821
"152",24110
"153",26407
"154",25262
"155",41301
"156",22389
"157",29875
"158",16546
"159",22621
"160",14810
"161",50376
"162",16088
"163",26826
"164",19424
"165",6328
"166",24007
"167",22680
"168",29442
"169",47315
"170",2989
"171",11910
"172",13080
"173",26121
"174",32509
"175",34935
"176",38765
"177",17753
"178",20072
"179",44336
"180",41575
"181",25742
"182",9944
"183",14698
"184",16340
"185",51514
"186",29270
"187",12733
"188",24165
"189",34655
"190",24754
"191",4675
"192",30235
"193",49235
"194",48321
"195",31905
"196",45218
"197",24815
"198",18325
"199",11264
"200",5660
"201",45602
"202",39531
"203",17877
"204",26414
"205",23982
"206",32416
"207",6742
"208",45211
"209",6299
"210",35194
"211",42657
"212",50895
"213",12105
"214",11930
"215",16624
"216",54078
"217",19167
"218",45453
"219",35048
"220",35305
"221",34248
"222",52152
"223",22528
"224",13616
"225",36048
"226",39403
"227",25287
"228",36839
"229",1827
"230",13030
"231",37548
"232",23494
"233",1687
"234",42732
"235",44032
"236",37402
"237",8305
"238",49578
"239",53921
"240",48163
"241",46635
"242",26546
"243",27290
"244",43917
"245",40242
"246",39845
"247",23802
"248",27269
"249",48583
"250",39971
"251",1033
"252",51836
