"","V1","V2"
"1",0,-90
"2",1.25,-90
"3",2.5,-90
"4",3.75,-90
"5",5,-90
"6",6.25,-90
"7",7.5,-90
"8",8.75,-90
"9",10,-90
"10",11.25,-90
"11",12.5,-90
"12",13.75,-90
"13",15,-90
"14",16.25,-90
"15",17.5,-90
"16",18.75,-90
"17",20,-90
"18",21.25,-90
"19",22.5,-90
"20",23.75,-90
"21",25,-90
"22",26.25,-90
"23",27.5,-90
"24",28.75,-90
"25",30,-90
"26",31.25,-90
"27",32.5,-90
"28",33.75,-90
"29",35,-90
"30",36.25,-90
"31",37.5,-90
"32",38.75,-90
"33",40,-90
"34",41.25,-90
"35",42.5,-90
"36",43.75,-90
"37",45,-90
"38",46.25,-90
"39",47.5,-90
"40",48.75,-90
"41",50,-90
"42",51.25,-90
"43",52.5,-90
"44",53.75,-90
"45",55,-90
"46",56.25,-90
"47",57.5,-90
"48",58.75,-90
"49",60,-90
"50",61.25,-90
"51",62.5,-90
"52",63.75,-90
"53",65,-90
"54",66.25,-90
"55",67.5,-90
"56",68.75,-90
"57",70,-90
"58",71.25,-90
"59",72.5,-90
"60",73.75,-90
"61",75,-90
"62",76.25,-90
"63",77.5,-90
"64",78.75,-90
"65",80,-90
"66",81.25,-90
"67",82.5,-90
"68",83.75,-90
"69",85,-90
"70",86.25,-90
"71",87.5,-90
"72",88.75,-90
"73",90,-90
"74",91.25,-90
"75",92.5,-90
"76",93.75,-90
"77",95,-90
"78",96.25,-90
"79",97.5,-90
"80",98.75,-90
"81",100,-90
"82",101.25,-90
"83",102.5,-90
"84",103.75,-90
"85",105,-90
"86",106.25,-90
"87",107.5,-90
"88",108.75,-90
"89",110,-90
"90",111.25,-90
"91",112.5,-90
"92",113.75,-90
"93",115,-90
"94",116.25,-90
"95",117.5,-90
"96",118.75,-90
"97",120,-90
"98",121.25,-90
"99",122.5,-90
"100",123.75,-90
"101",125,-90
"102",126.25,-90
"103",127.5,-90
"104",128.75,-90
"105",130,-90
"106",131.25,-90
"107",132.5,-90
"108",133.75,-90
"109",135,-90
"110",136.25,-90
"111",137.5,-90
"112",138.75,-90
"113",140,-90
"114",141.25,-90
"115",142.5,-90
"116",143.75,-90
"117",145,-90
"118",146.25,-90
"119",147.5,-90
"120",148.75,-90
"121",150,-90
"122",151.25,-90
"123",152.5,-90
"124",153.75,-90
"125",155,-90
"126",156.25,-90
"127",157.5,-90
"128",158.75,-90
"129",160,-90
"130",161.25,-90
"131",162.5,-90
"132",163.75,-90
"133",165,-90
"134",166.25,-90
"135",167.5,-90
"136",168.75,-90
"137",170,-90
"138",171.25,-90
"139",172.5,-90
"140",173.75,-90
"141",175,-90
"142",176.25,-90
"143",177.5,-90
"144",178.75,-90
"145",180,-90
"146",181.25,-90
"147",182.5,-90
"148",183.75,-90
"149",185,-90
"150",186.25,-90
"151",187.5,-90
"152",188.75,-90
"153",190,-90
"154",191.25,-90
"155",192.5,-90
"156",193.75,-90
"157",195,-90
"158",196.25,-90
"159",197.5,-90
"160",198.75,-90
"161",200,-90
"162",201.25,-90
"163",202.5,-90
"164",203.75,-90
"165",205,-90
"166",206.25,-90
"167",207.5,-90
"168",208.75,-90
"169",210,-90
"170",211.25,-90
"171",212.5,-90
"172",213.75,-90
"173",215,-90
"174",216.25,-90
"175",217.5,-90
"176",218.75,-90
"177",220,-90
"178",221.25,-90
"179",222.5,-90
"180",223.75,-90
"181",225,-90
"182",226.25,-90
