"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",31522.2403628415,22075.563967888,20385.121348435,22871.6825805898,27592.6767032968,35361.906986662,45916.9368945595,57892.8852770893
"2",38402.6401955464,28637.8987958259,30176.9090128212,31874.0026978183,34665.0639390608,40452.7348198163,51677.3242583492,64475.7438840654
"3",33451.6018523734,20497.1804367636,20393.8874042309,21845.5556832969,28106.9923805471,35614.5982644636,46862.8835295876,58566.8507148793
"4",24530.6490484831,19268.5971637575,17336.5693923841,21634.5232124028,29734.5285459476,35039.431559529,45767.5914514818,58935.491479224
"5",23771.528216292,21035.9002368182,19814.5340700035,23082.150806762,30360.1616566615,38960.3276063284,47544.747223324,61333.0256919444
"6",29862.9341560704,20100.0688956775,20603.8591663333,22068.4518285291,26753.0636175059,35690.173529973,46006.0740945771,59246.1724447261
"7",24957.4445091592,24567.9294358393,24269.7006792646,23968.5310516779,30133.691131341,36057.3386092052,47615.0994370412,58105.1849713147
"8",20983.8585377756,17051.4908612166,18421.4709785524,22463.2234610244,26257.702274927,36967.6933559362,45608.2164749523,59141.6147832664
"9",24448.4436927772,15986.4323628348,16330.6414216787,17399.2973178748,25754.0504250048,34428.0810683258,41204.9217109307,56596.8710262752
"10",20293.930491407,16756.5913848379,14190.9579951911,16964.1348914978,23143.5049844168,29907.8812446809,41072.1742303011,53256.1371699729
"11",24895.1704581669,18741.4036071211,15699.2773646181,19009.934556921,22959.0947733897,30640.4749538317,40861.1500551154,53663.0806808076
"12",25526.0162424221,20678.1105179624,18590.0011267439,20102.417593078,25275.938135636,32252.8850048865,43683.1929214623,55292.7873331931
"13",24754.4830587947,21400.3364066862,19988.9677738475,24609.5709861645,26009.3980306793,33734.6333810728,44288.2019627129,56931.520621507
"14",23291.1214416282,19986.3013720479,21381.2551422692,25139.5627030426,29395.5483707398,36994.2083359245,49765.125845852,60312.9628723031
"15",32803.5194451355,22646.5240009105,19961.8346564659,24460.5275232217,29484.537273329,37060.0303850338,45629.3005976128,58302.0167387269
"16",29261.9335581155,21620.5576261595,22401.9524144819,23349.6440199379,31075.9636553841,40408.9357442828,49722.5772985654,62494.2530463851
"17",25343.0316340672,22419.8994092176,22275.266593482,23437.6357814136,29267.3399279648,37099.1409558494,47813.83732163,60970.5142838982
"18",30184.5288930148,26335.9573829344,23254.8755833721,24152.719945619,31833.7185448433,36978.9292622702,46973.1851899425,59995.0251904839
"19",31759.7452460813,20752.2365050143,21618.194117166,23115.5115679528,30042.1652034861,36865.422167655,48560.7861816699,60568.3704717569
"20",28665.8091060497,17511.00756668,17884.549349473,23796.5887377743,28459.3490996363,35527.5305732962,45416.8614846015,56996.5139743775
"21",21068.9925625046,16307.9617223741,18371.8380805503,19601.3475500991,22597.8059501887,32235.4059526244,45592.5513453961,57903.8779244091
"22",19722.3674848438,14272.8545402997,13664.2926973373,15458.7556346721,21367.2005635779,29294.8905545952,41142.9151441011,53517.9433598253
"23",25992.5994324968,18493.8360634712,16515.7620607688,20981.071549921,25778.5978947637,34085.6010579867,44320.0705294914,56497.5428096998
"24",26494.3576055703,19787.6223582418,19149.2503722704,22773.2255978346,25895.4045621273,33794.6441860181,44399.0722857918,57301.6700810316
"25",27122.6356182991,21461.8451705205,20421.3398353507,22738.2098463983,26725.4589583157,34543.0416604464,44645.5414203037,57061.5586721758
"26",28746.2846761831,23118.4540881198,24263.024342038,26144.3997748709,31086.8414528018,38934.7148986301,50675.4251820247,61493.1149262487
"27",29471.6992063668,20789.6114594864,20534.2142594776,23499.9154297701,28478.795010344,39010.6721392206,47604.5444558664,61204.2159673166
"28",25084.8854889364,19607.7354738311,23818.5657662,24111.0367404857,27725.5066186724,36383.5370618003,46411.0211913649,60586.1649069409
"29",22379.8112651189,22500.9108143804,20785.9290504301,21724.4415487957,27574.1092708492,34711.6991429517,45289.9424140343,59159.6091654242
"30",27223.5727169423,20601.9723938772,20977.4237120826,24729.5357956897,29586.1104387821,38890.2501328507,51032.4862905436,64358.8317892583
"31",21959.4922874613,16983.3130659713,16941.824577748,22297.1344109267,26948.3505786257,34700.7713418098,45481.5118922987,57938.9962685022
"32",22584.509785793,18922.4529679692,16827.6580093279,20182.2362354338,28434.7170474622,35057.0791585863,43815.2453898945,57344.5634050738
"33",20227.6202081395,15758.8974596135,16904.0367943611,19408.8255333616,24155.5805479683,31965.1791833229,43416.7384870244,56433.2322022798
"34",18412.4626734733,14673.9736744459,14041.2146953888,17604.2636374643,21160.2149260289,30084.8060987521,39901.9933957437,53331.7432154718
"35",23637.5618696154,18606.8887505886,17129.9091000904,19699.5701068399,24629.3764786603,32748.5637880814,42380.2431353013,54668.3427169997
"36",27632.615311324,20940.8983512225,19238.3863519857,21810.5922396068,26623.4084252123,34438.0655571586,44710.4585486707,57264.4452826828
"37",25891.8288602712,20020.4135556206,20246.2430844265,22206.1027489848,28007.488241056,34034.416379426,45201.0541862222,57061.0254061495
"38",35082.807682867,23225.2321438769,23035.2239500907,26850.8487679872,33724.4920699035,40599.3067960876,51129.8840144351,62794.2618342964
"39",30915.9381210255,23012.3581713616,21428.1470198898,25152.971651729,29261.1788425121,37127.878965842,47650.0430694172,60916.632262854
"40",29940.1075780611,23512.1916871303,22384.4657205103,24432.7551982332,31148.3779345835,37007.6683775569,47349.3345491592,60799.6019537533
"41",19598.3028281037,17095.4430567361,18110.0777732901,20665.2932944966,25689.3917328836,35071.2362370591,45018.1121143671,58023.0067978495
"42",24387.5648475889,18735.64839187,18205.5811108294,21995.5740223348,27465.336409633,36624.8864823251,47131.9140819381,59703.0337002773
"43",22312.9805044143,18458.9292230814,20210.3743874644,22547.2147641487,26535.0581676448,34456.4607632718,45997.252575166,58325.3598051435
"44",25590.6925652033,18734.7840071901,16974.9986711871,21484.0419523864,28315.2179911283,37338.16987311,48080.4578776817,58727.7111391748
"45",22020.4885353407,16722.095940537,14637.3845514319,16782.2763636234,23487.3723344021,32420.9304846433,42113.4219199789,55180.6446337968
"46",17848.3603975724,14604.6678894795,18151.708989757,17260.5486629041,22798.3750330171,30756.0371348398,40974.5070390173,53794.8691660093
"47",18005.7426189013,15507.2879285897,13966.8516712532,17751.0750142367,21396.8652222316,29407.6273251974,39492.3772000207,52601.7984672584
"48",24208.9873237401,18988.8589253947,16953.7388041867,19157.4712808937,23877.1204032878,32029.4751815335,43058.9309412515,55486.5378095577
"49",26717.3962369592,19012.0899649096,18037.621570429,21474.6204039214,25851.9522758158,34135.03676969,43890.8109218704,56803.8959775406
"50",32757.9767964931,25159.0737846853,24565.7582663865,25281.8074183252,31476.9146399098,39055.0192442511,49762.3294827592,62873.3622443655
"51",35671.2907971431,24283.7209103321,22959.2387096724,25125.3777320412,28514.1539781196,37159.9443072328,47387.3330974015,59739.025713245
"52",25195.0626153363,20299.5751617647,22386.4714494833,23463.7204369071,28903.3950330061,38578.7729220054,47714.8617034208,60878.4834694439
"53",26928.699672481,20830.9871050798,23234.141081655,25491.1413501696,30651.3741728205,36741.3974218467,45610.5452671931,59321.5118643742
"54",30099.3097847991,25927.1539255938,22305.3971925731,22301.2627821393,28499.3707906408,36247.5266783191,45264.9641426221,58173.8426730477
"55",25849.6389308686,18406.1890889793,19409.2766817025,22513.7531020208,27028.4909382012,34152.0222909177,44787.9713463753,57050.5300909678
"56",24889.8537856206,16191.5418648512,15957.1614264768,17464.8304093786,23469.8293219028,31941.8688799864,42228.9695103351,56149.5035638222
"57",21715.3078091435,15824.7923560216,13761.2900846893,21542.4188086616,23173.2821886024,32591.0076514412,42064.1489734281,54593.7768732299
"58",20235.3682262768,14409.3069067594,13534.9105105726,15928.8778296208,21207.6404824673,29301.5802682897,38985.5424373138,51500.8082719737
"59",23745.4851673202,17432.3227825735,15624.3418820091,18091.2703043044,22697.8482145498,31602.2005685773,41918.7407164184,54506.8276860995
"60",23314.4926290903,18105.4918544391,17055.7862371597,19250.9258686874,23774.490693684,31311.1313491684,41320.7978127226,53643.2462093485
"61",23372.5329976016,18488.7093320793,17000.5702250266,20931.6897822085,25215.8132752172,34604.6373670761,45501.1666370192,57331.9575311784
"62",27282.4359436519,24266.9943893955,22593.5590115409,22925.2124699886,29273.7052926274,38463.6619793319,47556.1367403304,61114.1550802612
"63",23036.6743681324,15954.2949606525,15443.9648314103,18564.6309421894,23119.0221652466,32009.6941319013,42351.3722452129,56741.0737777724
"64",21335.7272549818,16675.7232030484,17560.2806933783,20074.3600517927,26182.0398679656,34565.330996838,44999.8672433595,57836.4450211042
"65",21576.8712996438,17843.7826461125,17545.8406329456,19429.5448986851,26217.3797130688,35809.338258761,45467.7349684803,59751.6550139392
