"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",35103.6128324026,9856.85308081738,-11741.8089302231,-18214.5899429732,-25806.1378421604,-29337.2522671026,-28972.6102645711,-23377.5356754629
"2",45818.1222946855,12590.0062950594,-2000.31716289177,-14395.6781759715,-18952.575667451,-19125.603564323,-19645.0400687788,-15171.8821884082
"3",31010.1716206465,5001.85956567127,-10330.8855926264,-20108.9839815787,-26826.7120839984,-26743.7417904942,-26052.718777154,-19470.591988921
"4",25966.7164149055,2929.71026403662,-14149.8979514331,-26877.1547473193,-30469.728953307,-31299.7882747,-31247.7578290728,-25629.0667324666
"5",23748.3838784339,830.85576162599,-14247.0880134648,-24771.6600177766,-31543.2136401544,-33290.147053128,-31210.2594062773,-26974.0438056484
"6",22937.1194294074,970.147556916807,-15466.5980579327,-25010.0917023796,-29955.6444318528,-32878.3977147894,-30523.2190318287,-23685.8521370584
"7",26566.2682469832,6911.59532107009,-13387.8990368452,-19740.6589726586,-26565.7494065494,-24388.0737413604,-24146.2167600559,-19530.5475560966
"8",27472.3239433971,7658.71604868686,-7150.39618948705,-16466.0270620201,-17593.2078924688,-18611.3230553667,-16612.2314491941,-10580.6396617828
"9",31341.0361654393,12217.334254733,-5378.36121713336,-14722.5376900008,-17741.633928134,-17931.1615412628,-15720.1952332368,-8704.71688571326
"10",21875.7159720905,2671.18403594415,-8652.34787848745,-16955.1886898068,-21610.16569311,-25008.6551390061,-25629.1920036595,-22905.5625813699
"11",27982.7468484287,6597.19726369444,-11809.4121265909,-21270.3564973443,-23731.073844638,-28159.3259377405,-24999.9698954621,-21779.5486825614
"12",37900.4901095272,10487.5307809336,-11805.0895939626,-20874.2413153533,-28138.6541097934,-29457.5196991527,-24084.7983084086,-20800.3273753089
"13",33771.5805954328,10700.4542688232,-9801.54276491111,-17268.3505146106,-25932.1760021657,-30630.2147351289,-28404.7956570471,-19648.6836166873
"14",27896.1675964044,5989.1515925338,-10859.1330772529,-22967.0723352065,-28857.7429500186,-28656.0266019853,-27764.1701449256,-22144.3503305586
"15",28160.772644765,3403.41226245714,-12011.8179358589,-22508.2182003634,-29695.7436332368,-31187.2696964172,-29400.1643165086,-25485.9247203712
"16",36975.0687432387,4915.66876907843,-13757.3486707615,-24671.4143194074,-28549.523226203,-29972.1470538174,-28675.7807568685,-21427.9115319654
"17",29200.8965859929,4020.0335501039,-15208.7716092017,-25493.7179832702,-32411.5739929054,-33369.9638600837,-30538.8285012357,-28086.369043864
"18",29472.5752234483,2142.82395780566,-13620.1972141228,-21416.4658385364,-28296.2326694627,-29892.4461400021,-27501.233428604,-22712.4608825841
"19",27131.9573637736,4436.35290246237,-13491.6894662237,-22108.2798159795,-27549.7576726523,-27025.2721598883,-24796.3439733505,-19396.0374844345
"20",25356.0572686395,8948.15890890437,-5724.35065025902,-13383.1653485722,-21578.8421142716,-22015.376062426,-21005.3072763441,-14397.5988188374
"21",25614.4586056652,11191.1138274603,-2628.69644926399,-7967.62521986874,-15044.15313886,-18788.9638790965,-13440.5188030307,-5628.38368170209
"22",26790.0940672247,9075.94329584516,-9753.87853442891,-19280.0288676821,-23147.5578319119,-24587.4552532657,-22391.3018584418,-18554.2731120227
"23",35856.7477335936,14825.5733610483,-6644.8986642375,-18859.0850339252,-25091.1282088996,-28284.3026921325,-27894.6563361325,-20857.3497031795
"24",37961.6333588403,17115.0654651794,-568.784338568894,-9346.29245327134,-18713.6610072721,-23008.2407938101,-20786.2096689709,-13266.5980589574
"25",41433.2891931857,12363.2643617655,-1609.09070030545,-14937.1978005371,-21602.5649875199,-27274.9192436899,-25217.2350833306,-19083.1489126503
"26",46352.5246223133,17247.3317800417,-687.683229029517,-12534.6211237775,-14234.0519724683,-17541.5958194148,-16994.7202985231,-12595.125372233
"27",28215.1726126173,6050.47355157426,-11601.3061710934,-22106.4998561664,-27679.4081004602,-27479.2872655405,-23788.2754199877,-20549.0718916564
"28",22777.6999132242,-1162.57042808296,-16446.3232190835,-26894.334228992,-32107.4594236656,-32681.0577952947,-31295.6722413371,-26573.1477154007
"29",22271.6212818302,1087.75690519424,-16727.2773923188,-24701.948845062,-34799.7115059741,-37905.7992449506,-35709.3694685303,-32444.6548410281
"30",27422.821076259,4113.83395406052,-9250.09586731263,-19977.5728890614,-26460.9567793767,-28507.4380967068,-26651.7572785442,-22406.6134882706
"31",22252.2618641371,1069.08658199546,-15536.6127270928,-26676.0923293472,-33730.8785984731,-35310.7342600881,-31933.9898504906,-28126.127506116
"32",29840.6416937726,9894.55482729271,-5121.97425903389,-14305.1929867848,-21491.1767698478,-22977.2997137197,-21733.7574695166,-15791.9017030698
"33",25451.3477157621,7869.42492381278,-6145.10613407506,-12838.6810076093,-17308.314508143,-19342.1389540392,-17361.3238190404,-12010.9363954359
"34",24740.2094282128,5936.46859268013,-13056.6416715584,-19496.7848259986,-23152.8675144541,-27206.9650269847,-20997.3055975616,-19292.6757494497
"35",29973.9893790008,6613.12040142076,-10747.6826320381,-24328.0675139694,-28665.4728327243,-31276.975309058,-29083.1162021633,-25102.4683789282
"36",37709.5171328504,12539.0747329919,-3862.92276608278,-15159.0065240383,-21555.0142422473,-24264.7336464051,-21535.2317020759,-14830.2783771742
"37",36901.3777587723,6507.92190127117,-10809.2748964743,-20016.497277833,-27580.0465337985,-29939.8865937207,-26964.9568522004,-23697.6050648615
"38",32863.4027479973,6851.5709245944,-7555.42663712333,-18322.4634106598,-23576.7054499308,-25377.9012222747,-22554.0826134827,-19405.3626414072
"39",33511.8386278392,12484.4864319702,-5497.44664481277,-16579.5080758942,-20565.2455207551,-22035.015369287,-23020.1063333793,-18381.1920848636
"40",25783.6654001435,5964.11645010805,-15474.3954598378,-27379.1976402396,-33409.3062869342,-33407.0560509148,-34012.4337418141,-28093.0736952087
"41",23834.4252150347,-2377.59162993409,-20162.6087407872,-29024.1168382332,-34527.2276121209,-38214.2957858754,-35966.6975702634,-31355.4429775675
"42",24403.323890668,1350.24206965226,-13127.9246532798,-23942.0269457202,-30209.7958549869,-30811.8348938725,-30894.5291765724,-26841.3198022071
"43",27713.6300029733,2700.75853954654,-13418.3560469126,-22316.8815739692,-28777.9833525416,-29866.4514337641,-28735.6463947908,-25149.3946568431
"44",32719.2398729041,11902.384026744,-5615.41162442975,-10304.6236912501,-15319.4052366022,-15779.1356580856,-14620.6568957899,-8909.34587198526
"45",26690.1876765023,6817.34714443134,-7631.65594197678,-15751.7299035772,-18259.5214853558,-16633.8852714306,-12826.8644510925,-11459.1493782892
"46",29162.6817203299,9274.34613910685,-5844.36796761453,-13944.4902039136,-17043.8635057206,-16987.8873451173,-16317.2781102684,-13372.6753688132
"47",31106.9195268724,6582.15380755851,-3641.06338944394,-14053.0258123782,-23868.848653076,-30662.665811683,-25006.7090130343,-23285.4317021579
"48",28622.9769866626,8422.08468472385,-4638.80589508573,-15386.0033969145,-22616.4958549179,-27342.1987242247,-28883.6687148926,-24097.7729629139
"49",26850.8897709602,10372.5609573836,-4520.1670327569,-17546.4335374006,-23769.016236922,-25822.9993775577,-24087.0005101588,-21546.4230601144
"50",33047.9113798157,20577.5791282895,4776.08588031331,-11847.8366617966,-14547.3214076099,-17042.6276328689,-17531.2485437547,-13188.7733689038
"51",33433.3622324944,8230.55747649526,-895.803205384032,-17364.8809729214,-23390.9380310862,-27472.8382515135,-22403.7695433914,-20609.0564929673
"52",40435.6977336494,14212.5602240194,1074.23786260551,-17176.2220938339,-25114.5802583168,-24831.4100870207,-25122.3242449282,-17753.4420789748
"53",28164.9011292166,7074.12715433012,-8844.51368776951,-19149.8633403724,-28751.0256224288,-30606.6919776246,-30015.6435851196,-24161.2663659073
"54",34265.2375498617,8001.14489492289,-11547.3976571877,-21357.5931116116,-31825.3806991905,-32380.8173392123,-31259.1661090529,-26022.9369101261
"55",28111.5785325875,8533.56620633207,-10321.5185083661,-21813.3361414047,-28788.9475467208,-30499.7626318113,-28722.1315777903,-26240.7164238169
"56",26856.4400543983,4702.17312479297,-12192.7296153008,-21384.2051401715,-26936.6032085454,-26916.8953518625,-26910.1658233059,-20824.6804924171
"57",31765.9507692261,5520.9879076203,-9932.20770004076,-19009.4595393176,-23352.1242064801,-24280.1469952132,-18209.079949019,-14603.4968294626
"58",24628.3118822695,916.835249824693,-10279.7733093337,-23934.939708042,-30274.143614568,-30967.184272722,-29351.5981034135,-23779.4607833711
"59",29110.7615678271,12476.2413550851,-12089.4420730616,-23162.0653134419,-29818.2006597688,-31196.2596722257,-29509.9214488319,-25604.8914483996
"60",26478.6171111002,10446.3941791209,-6570.64583110324,-17982.6510018366,-27209.7921168196,-29352.7626431683,-28791.9000629551,-25434.2732337457
"61",30680.3177975525,8438.97212717989,-9221.65247624576,-15646.2837866902,-24109.0682355981,-30389.1618316336,-24262.1394442321,-24428.4717188836
"62",30492.5402677183,2751.76510568632,-12852.8340257894,-23610.0619335319,-31383.781251193,-35789.0169532056,-34390.2512489448,-27523.7138912947
"63",24022.9322318946,3371.79307447157,-14955.6595036375,-22647.5504662827,-28889.9191937874,-31502.9122765491,-27954.1662638254,-24242.1328565271
"64",21188.3268534743,-2703.76697941537,-21090.6119812485,-30202.9360616337,-35037.599488173,-37904.6715828756,-36833.1338507538,-32793.7580579989
"65",18754.5212498616,-3064.18596973324,-16693.6985854674,-27986.9473671879,-37132.4865012044,-40130.3027416295,-38006.5827863416,-35345.6197173717
"66",21419.5634546218,-2348.33075639814,-17226.3594315396,-28081.4233058943,-35019.3880921441,-36769.7062781252,-36952.7334031919,-32219.4623884965
"67",25990.3878009651,2389.95183973659,-11892.0308179123,-20854.7114904591,-27187.7382011996,-27569.6288197941,-27336.9391198478,-22802.2926696371
"68",30264.5289331199,8321.20468750391,-7494.34041421506,-17775.0238836606,-21163.6576827706,-22227.5557199376,-21790.3885819841,-16147.7622043849
"69",23856.4041221545,5663.08399919963,-7244.0775608579,-16406.4717170855,-23561.5741600333,-21254.4228404189,-20203.2771652323,-16484.2426151327
"70",21701.5086272695,5924.24231343854,-15146.2761142022,-24109.3373520186,-30782.0839478196,-31497.0478782063,-29775.8723017303,-26128.9226347693
"71",26159.816306626,2210.34902518581,-16071.2948075603,-23614.7216914829,-27924.437526763,-33005.0714252261,-30467.930964433,-26064.9939419226
"72",29648.4805689697,5882.61755606591,-9112.81058554967,-16082.0985388706,-23256.91747706,-26666.2231590236,-26509.1975839714,-24421.7134228862
"73",32693.6411092819,7528.98477606596,-10905.5568704037,-20182.1031429782,-29228.4783411936,-26543.6124398316,-28398.7585677289,-22355.5144214365
"74",39135.9073454754,11938.7270079098,-9366.00563043497,-22455.0459352651,-24736.9211855101,-29348.805688208,-27834.4308742364,-19125.9111184471
"75",28851.1556767085,6670.7539312663,-9971.49529714842,-19348.760486583,-24531.3663718654,-29345.6472315943,-24632.8484394778,-24358.9433442799
"76",25343.7502666889,9054.79057997763,-12482.1223993934,-25280.151776522,-30558.7220639668,-34446.9594012732,-29633.4402587106,-27740.9231761935
"77",27713.0745247016,4187.2922262755,-15916.8008942776,-28275.0951112448,-33535.2609849263,-38038.786141176,-38147.8674663363,-34104.3571806313
"78",17125.2261566514,-5222.25645333549,-20887.5754836542,-29402.4339094931,-36671.4430438064,-38496.8354288676,-36389.6681772396,-31019.9546770481
"79",22040.0649733325,3248.1928395453,-14118.4566728695,-23950.2368625574,-30339.1780284977,-32847.0718001031,-30655.6283636534,-26288.7699837039
"80",24797.3001536981,1807.70408509207,-11940.1783608296,-21409.128605909,-25291.5912224274,-28372.4778945033,-28282.3377466625,-22282.3218881821
"81",28417.6163071965,8530.2981808819,-6997.80822987305,-15487.5163932814,-18030.2067203679,-21304.3172901383,-15012.6101538927,-13522.1188447286
"82",26421.2052287351,7914.71507547884,-13194.9147475179,-20513.04835188,-26502.5039944806,-28847.5341654173,-25059.0674655214,-18967.9632822818
"83",48562.6795699648,19641.6751750714,-4122.28789083018,-16881.0454237582,-25796.4496940535,-26023.6068384811,-25533.4529820768,-23366.5005061067
"84",33275.5991750963,9212.66956621366,-7414.81128918905,-18458.8543037289,-28994.6577393362,-32081.8949706375,-27524.2231906008,-24968.2164490807
"85",32908.331022495,14835.5804141123,-4112.47428430868,-17962.4447472778,-24002.0139026674,-23706.5621677903,-25120.9613909304,-18830.6627790447
"86",43980.2115996197,30539.517566375,15925.4549040354,4552.92135668675,-1249.77140080986,759.397123303235,-863.295643886013,6280.17271310157
"87",38852.5810697338,29593.4173715448,20262.2385412325,9835.38485932859,-85.260666321512,-4905.60467159303,-420.241607349933,4640.82436743325
"88",38408.772473645,20352.2613771315,1401.0369825043,-11874.5707429242,-19724.3813484826,-22112.2174523445,-21890.2329285181,-16331.1321780239
"89",26783.1889477068,5851.07614242941,-9629.40536204356,-19575.8956493191,-27169.5767091689,-30853.8775005344,-30478.1907570434,-25440.521569462
"90",30066.72538068,5018.91682673378,-6768.35548141072,-19558.7232276073,-28003.0814102528,-29014.9021327324,-27499.9792342891,-24348.1763870119
"91",23805.6166606048,6428.98733544295,-5835.60178147027,-18867.59084265,-24691.699339337,-23956.7355421559,-25043.5906428004,-22816.0041347751
"92",37795.795771001,20595.4755147773,8532.13481251523,-4246.33574691151,-7853.40895370532,-10166.6006516204,-6581.85567050353,-3105.44050942977
"93",37709.8842978539,23003.1536071446,11265.6199243006,-731.614934178207,-2735.67576023977,-7383.74146628367,-4365.38166542434,2174.74521403528
"94",38411.7260406487,21687.0196280929,8652.84907343489,-119.801327899091,-11906.3396265478,-17037.9333392148,-15592.1704821021,-11398.6245177282
"95",46333.8686885704,27654.231051362,11710.2907050022,5704.16040110232,-3247.3412705908,-13852.5137147268,-13511.1160404077,-8718.08334368739
"96",55237.0037949903,29835.2270084992,4370.09756324254,2752.77089790045,-4750.06664675022,-13217.8149795459,-14885.0353462278,-10297.1891815138
"97",53950.2866271199,22305.8009136049,3949.37017883421,-1172.71675153236,-5393.85296194449,-10250.0708784731,-10082.7991719491,-3818.09576061381
"98",69834.8256082081,42531.5714088442,19341.2482273435,15941.67729544,10011.0000338414,4210.66071785062,6177.33647899903,11012.4528127408
"99",55140.4666207493,24587.4010969731,2337.0312563782,-5642.459553505,-10946.4889952608,-14532.4800258585,-10176.5217871785,-8497.55848011754
"100",38985.572469024,12456.5909267344,-2649.02503245377,-11884.3473863563,-21150.421715491,-23415.0267274602,-22479.8284192138,-18818.1847966814
"101",31825.1671175604,5896.53819781427,-8933.89122629472,-20452.320187521,-25790.3992693017,-29794.2645684343,-28049.965668065,-24207.1392491986
