"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",22075.563967888,21871.3427666979,21026.8978504215,21235.9485372779,20871.600761893,20659.1367256514,20123.4600482783,20681.5000106871,20987.8641726069,20902.3356232447,20385.121348435
"2",28637.8987958259,29261.5757810414,29537.7375085457,28828.3167314803,29598.1322002734,29211.4854821473,28522.1143615038,28754.2795727181,29194.3460418616,29770.0178945617,30176.9090128212
"3",20497.1804367636,20858.8368807211,20582.3364857324,20363.6254051884,19003.6424654703,19450.7469802055,19799.9183768953,19336.7883179464,19742.9694994765,19958.561893583,20393.8874042309
"4",19268.5971637575,18137.632344871,19657.8779312423,20504.4746420173,20422.6657273605,23120.4637831523,23948.8365853039,20624.8161985721,18283.2498346811,17134.5538391342,17336.5693923841
"5",21035.9002368182,21284.243321447,22418.0772491133,20462.4555506847,20543.5669449777,20687.8341648837,19550.2650686955,18376.8882142383,19043.7202604235,19543.977019714,19814.5340700035
"6",20100.0688956775,19714.8025318121,19801.406688709,20875.6375099852,21936.8959553252,22789.9199050005,21888.5022519038,22243.4368581957,21658.072872183,20619.3893176112,20603.8591663333
"7",24567.9294358393,22705.2290906556,23107.8659354748,22161.6516840027,22086.767132122,21112.132394418,18992.8481596517,18339.1194955557,19398.9012154029,21550.9070472944,24269.7006792646
"8",17051.4908612166,18191.5351464239,18808.4689680431,19067.4696175464,18593.4241314302,18808.0835723962,17951.68462753,17545.1208806562,17331.6595175063,18354.546698078,18421.4709785524
"9",15986.4323628348,16454.9287923538,15901.3215677146,16540.229625275,16857.6638243162,15380.6703588686,14816.724528035,15245.210435218,14896.170906046,15244.764046719,16330.6414216787
"10",16756.5913848379,16772.1767800801,15762.3758981066,15106.5698070546,15175.868831128,13891.9191532497,13768.259054866,14257.7890832709,14561.1116233668,13924.4880386467,14190.9579951911
"11",18741.4036071211,19558.9450925571,17905.1833356775,16536.7695430837,16080.5292495924,15895.5410020419,15083.104184345,14564.1141936467,14805.1982632336,14844.8375670863,15699.2773646181
"12",20678.1105179624,19210.4316987403,19690.7557452527,18362.1652023188,18021.0786506653,17044.1796210611,17044.5095985066,17288.7048006383,17547.3335906333,17737.5360299171,18590.0011267439
"13",21400.3364066862,19998.4444040809,20531.4047241067,20998.9876325053,20877.3525946965,19667.6826126375,18968.1841361664,19454.2161338512,19746.6670558517,20172.0534508425,19988.9677738475
"14",19986.3013720479,20237.9743775284,21444.8537677418,20993.7603023463,19805.9321629441,19278.6607992999,19297.7494346916,19423.8235357876,19537.192037769,20225.6913998833,21381.2551422692
"15",22646.5240009105,21714.0811375442,21462.9619224759,21763.0903778063,20952.9401927839,20783.3881292831,19819.7369244119,20202.061128921,19656.1451807959,20316.0092840128,19961.8346564659
"16",21620.5576261595,23672.4726213735,26018.736649975,26004.5107117992,25064.7307547992,27662.0907204448,28971.1866061181,27471.2020599073,24299.0935846783,22506.1532511302,22401.9524144819
"17",22419.8994092176,22028.3391817613,23802.1530188036,20499.2230261122,19565.1752274721,20740.2894199067,21082.6814699333,20410.733088745,20345.6316886953,21611.4781673239,22275.266593482
"18",26335.9573829344,26909.0481992722,25020.3032677522,23459.0106275244,22461.5438724078,21416.6620736048,21867.7714691744,22239.9969294457,21658.2573126411,23540.1626679565,23254.8755833721
