"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",-29033.2592854847,-29893.9710166567,-29562.465953476,-29854.4256879721,-29847.9165215161,-29337.2522671026,-28357.3861164251,-28703.651305963,-29678.6207377618,-30639.8446894994,-29938.5534247979
"2",-19564.102360461,-19672.4684206784,-19808.4632281771,-20598.5183332175,-20504.2717614884,-19125.603564323,-20462.9497402188,-22629.175345552,-22154.2278269263,-22757.4547341893,-21710.7000598756
"3",-26457.7176231387,-25670.4882774908,-27383.7660136197,-27305.0771101434,-27811.4230063404,-26743.7417904942,-26189.9367890403,-26020.8640571095,-25993.5621267563,-26303.3262083431,-26802.3814952102
"4",-33185.2876423618,-31864.5923241029,-30986.7874699227,-31874.8273363535,-31155.999220047,-31299.7882747,-32198.6968032851,-33213.1394167716,-32097.9750103632,-32027.8777430609,-31512.4131055938
"5",-31491.6900602345,-32159.2479315936,-32801.1928409352,-32628.6872973373,-31986.7539111945,-33290.147053128,-33806.294592357,-32353.4331682844,-31243.4017935289,-32404.5600911184,-31509.5805589102
"6",-33838.8852499281,-33456.1846912553,-33736.3838112515,-33440.2006030425,-32810.4017794455,-32878.3977147894,-32702.349278009,-31735.4364050192,-32617.4392379845,-32553.20557248,-31050.2977220726
"7",-26301.3396175575,-25423.4745500968,-24039.2344744256,-26722.6281741616,-25968.853981321,-24388.0737413604,-25780.2162113276,-26223.5601556812,-26065.7935957764,-25794.7316368394,-25582.5457927034
"8",-17132.762805603,-16556.1766111522,-17286.307578644,-18101.8026613418,-19970.6879399121,-18611.3230553667,-16903.1895811504,-17826.8032634471,-16421.4582023509,-18348.2860670079,-17734.6638086295
"9",-15884.49099835,-16378.2822114524,-16326.6137774721,-19046.2394563973,-18056.2104437763,-17931.1615412628,-16548.8966268226,-13940.305258802,-13977.1242837866,-18154.4012113365,-19813.9331415167
"10",-22766.9320654748,-23185.6478646399,-22323.6259307963,-24473.2409196458,-25454.6947982065,-25008.6551390061,-24609.7207298885,-24685.0761943358,-25569.7569944321,-26315.0044079895,-25401.3887983741
"11",-25999.4525723716,-26452.211825285,-27007.0084164389,-27419.184781394,-26647.4286977619,-28159.3259377405,-26816.802350282,-27161.3235102254,-27110.2020717832,-27378.1594854077,-25790.2455316093
"12",-28535.4708712538,-28738.8564883066,-29003.3686095037,-28162.0956684824,-27809.4361795786,-29457.5196991527,-27301.5045006271,-27833.9899238811,-27326.1820801904,-27063.6369097455,-25901.2366702128
"13",-29414.234534469,-28337.4044805452,-29263.2386478761,-30081.1755160059,-29628.288894494,-30630.2147351289,-28781.8385368721,-29921.3792956903,-30919.3187920631,-30252.0999259661,-31365.636292192
"14",-29022.0745007765,-28403.1877100977,-29880.1741886812,-30241.8109121021,-29868.5331217408,-28656.0266019853,-30312.5605811257,-30148.3771142376,-30316.0018686783,-31314.5918426472,-30315.3334764726
"15",-29889.036123835,-30407.8869539276,-30157.6338382909,-31173.3638148664,-30927.3545207053,-31187.2696964172,-31173.3525551897,-30350.7373838098,-30811.7761608064,-31126.8271627675,-31335.9139771073
"16",-28915.9272590098,-28750.4939039896,-28264.9456466719,-30419.7996103311,-30256.4703210458,-29972.1470538174,-28844.8855074115,-29864.2775890348,-29542.2000236682,-30139.5075502171,-29034.7594138986
"17",-32956.9874867394,-33986.7697512463,-33566.0468052692,-33158.416945294,-32610.7153115244,-33369.9638600837,-33566.3035649191,-34021.9077094124,-34236.2245584016,-33245.9321899126,-32666.7021558221
"18",-29330.5172369843,-30145.7200401194,-29970.8672547181,-30956.1955308828,-29874.1626860101,-29892.4461400021,-30018.2718367191,-29143.7481255273,-30232.9955538872,-29810.9153339955,-29989.5436820359
"19",-29921.9671275027,-28935.0150918358,-26998.9480146566,-26402.106790632,-26708.2612024243,-27025.2721598883,-27540.5062152046,-27872.608624774,-26992.300608603,-27961.9756350506,-25768.7041025992
"20",-21768.6033560844,-23569.6290886399,-22652.0287818401,-21561.8116221055,-22443.5795738101,-22015.3760624261,-21922.67746494,-22356.6965959532,-20886.6655483923,-19974.2219220699,-19100.7610499291
"21",-17719.5081266401,-16622.8861916027,-17972.5597621024,-18298.7928567204,-18412.2590708963,-18788.9638790965,-19637.3502726097,-18984.9288475716,-17894.9378005057,-17998.6420139188,-15976.9215897044
"22",-23285.4496938663,-22563.0899336371,-25841.5627016801,-25223.2974871836,-24273.0116996436,-24587.4552532657,-24700.7498226686,-24475.0066140021,-25462.4419141133,-24440.8636760676,-24313.0073069396
"23",-26828.5763866434,-27347.515705931,-28755.6034126907,-28895.5226232097,-28562.7622381941,-28284.3026921325,-25987.2658209207,-26623.7973575953,-26879.1307790803,-28296.9500116032,-29525.5766679325
"24",-19897.7430186248,-21343.9271120173,-21518.1046576092,-22236.6776312895,-22322.5077922856,-23008.2407938101,-22835.593658328,-22199.3731955627,-22783.8713678977,-23180.1796409383,-23593.4084617407
"25",-25062.4917953093,-25551.1839476652,-25601.423449799,-26486.3066999468,-26485.3554341479,-27274.9192436899,-27277.9510915437,-26334.4105056583,-26343.0950117089,-24423.5057753485,-24719.7472765739
"26",-20272.0423477528,-20993.3813796325,-19622.8141534651,-20183.1473264891,-20270.2694594162,-17541.5958194148,-18660.392720036,-19748.8888761202,-21485.0789521094,-19263.8245438292,-19847.2853674445
"27",-28573.8100034203,-28572.0332199518,-28062.433682157,-28007.7761693917,-28886.9851617791,-27479.2872655405,-25548.605204602,-26868.7770931642,-25998.3719904481,-26227.1548922016,-24544.7203127495
"28",-33371.1422697128,-32948.5463904216,-33372.2961085347,-31938.9151977961,-33020.1740296174,-32681.0577952947,-33165.7348407614,-32386.562806941,-32786.8294009423,-32914.3247095894,-33038.0582154587
