"","x"
"result.1",2.29718833693442
"result.2",2.29718959425984
"result.3",2.29718956140066
"result.4",2.29719041918784
"result.5",2.29718914776775
"result.6",2.29719112620089
"result.7",2.29719031219949
"result.8",2.29718702033129
"result.9",2.29718856338186
"result.10",2.2971876125496
"result.11",2.29719100365844
"result.12",2.29718827746365
"result.13",2.29719031986367
"result.14",2.2971918948004
"result.15",2.2971905219626
"result.16",2.29718869921097
"result.17",2.29701703977221
"result.18",2.29652036315609
"result.19",2.29612136034595
"result.20",2.29604492776542
"result.21",2.29597579533367
"result.22",2.29595528309195
"result.23",2.29590869307053
"result.24",2.29586223723492
"result.25",2.29586295450209
"result.26",2.29586023114292
"result.27",2.29583674181311
"result.28",2.29583728039913
"result.29",2.29580409962559
"result.30",2.29577811848723
"result.31",2.29575700703718
"result.32",2.29576143476827
"result.33",2.29575159655817
"result.34",2.29571097803065
"result.35",2.29570722044037
"result.36",2.29570983688771
"result.37",2.29571506359938
"result.38",2.29570779124841
"result.39",2.29571082166908
"result.40",2.29569330565784
"result.41",2.29568759382178
"result.42",2.29568617443822
"result.43",2.29568837882355
"result.44",2.2956805138148
"result.45",2.29566662431579
"result.46",2.29564871834366
"result.47",2.2956501197823
"result.48",2.29564689491754
"result.49",2.29564715913674
"result.50",2.29564693291067
"result.51",2.29564239379631
"result.52",2.295642932108
"result.53",2.29564646501376
"result.54",2.29564412097027
"result.55",2.29564650263797
"result.56",2.29564506882966
"result.57",2.29564463024234
"result.58",2.29564630286416
"result.59",2.295651238211
"result.60",2.29564825844253
"result.61",2.29565085962363
"result.62",2.29564967432854
"result.63",2.29565433645774
"result.64",2.29563906146403
"result.65",2.29562886500306
"result.66",2.29562803197731
"result.67",2.29562610056694
"result.68",2.29563123802468
"result.69",2.29562779404553
"result.70",2.29563140533046
"result.71",2.29562733367933
"result.72",2.29562530447667
"result.73",2.29562426896701
"result.74",2.29563216895837
"result.75",2.29563579068986
"result.76",2.29565063577608
"result.77",2.29565119988201
"result.78",2.29564746905671
"result.79",2.29564716052104
"result.80",2.29565130520142
"result.81",2.29564947394071
"result.82",2.29566193714964
"result.83",2.29566117635538
"result.84",2.29566750250382
"result.85",2.29566478746538
"result.86",2.29566617456282
"result.87",2.29566660412682
"result.88",2.29566240190489
"result.89",2.29566210054746
"result.90",2.29566762790106
"result.91",2.29568525428763
"result.92",2.29569233815639
"result.93",2.29568841739301
"result.94",2.29568896893593
"result.95",2.29568644678794
"result.96",2.29569896103698
"result.97",2.29570517779071
"result.98",2.29571017039931
"result.99",2.29570989986548
"result.100",2.29572662492061
"result.101",2.29567274752127
"result.102",2.2955522303453
"result.103",2.29524203334413
"result.104",2.29506493640055
"result.105",2.29501116921117
"result.106",2.29497430007054
"result.107",2.29494631815308
"result.108",2.2949409424638
"result.109",2.29494692321348
"result.110",2.29490832234443
"result.111",2.29492100150795
"result.112",2.29489764763828
"result.113",2.29489162281485
"result.114",2.29489325356762
"result.115",2.29491202346313
"result.116",2.29494049482129
"result.117",2.29495093955025
"result.118",2.29494947200088
"result.119",2.29501954510665
"result.120",2.29503065926118
"result.121",2.2950465254302
"result.122",2.29506544967557
"result.123",2.29508149681255
"result.124",2.29510936691916
"result.125",2.29510802019593
"result.126",2.2951205478287
"result.127",2.29518379443852
"result.128",2.29518397187822
"result.129",2.29520252640671
"result.130",2.29526723646852
"result.131",2.29528794812321
"result.132",2.29531377777223
"result.133",2.2953480498011
"result.134",2.29541387796061
"result.135",2.29550586560366
"result.136",2.29552878195475
"result.137",2.29556797005255
"result.138",2.29561182972913
"result.139",2.29567270184066
"result.140",2.29577286998453
"result.141",2.29588394544641
"result.142",2.29595763550644
"result.143",2.29596837725455
"result.144",2.29602305579277
"result.145",2.29610702662303
"result.146",2.2961264488041
"result.147",2.29612595710908
"result.148",2.29612365590509
"result.149",2.29612429531872
"result.150",2.29612492538019
"result.151",2.29612638164193
"result.152",2.29612357238285
"result.153",2.29612352448367
