"","V1","V2","V3","V4","V5"
"result.1",-18010.1448182231,-9498.28222074626,-5363.15154225414,-2531.04309327456,140.950341271653
"result.2",-7164.39307503776,-4025.07074674214,-1823.32297887468,-239.724128674363,1027.21120852239
"result.3",2206.80286693981,3419.97196619219,4471.60658845141,5252.53439290596,5929.85079970468
"result.4",-5982.29091377934,-4576.9544934539,-2984.28494806295,-1771.03161632068,-256.111901378636
"result.5",-9726.05852394759,-6105.23682672199,-3936.28622146227,-2030.23474966193,-164.124941450362
"result.6",12858.0865611072,13118.9492140518,13381.4646038674,13708.977162395,14136.2924764767
"result.7",-5142.165318474,-1988.68977400266,24.7615775734921,1627.60671700343,3042.3127723878
"result.8",-9750.81047639146,-6985.35950439198,-4638.03153856752,-2531.50673343321,-542.583666142853
"result.9",-1580.52054700063,557.590833003473,2100.03141641302,3354.38460555318,4451.95074892731
"result.10",5936.50100173986,6846.47139724642,7390.67075637836,8033.10520151258,8635.87831228171
"result.11",168.325345346035,1726.55489584055,3227.0966249338,4713.55652166862,6105.99403807383
"result.12",-6588.11730847952,-3795.66337068621,-2067.21705347024,-285.238537461792,1309.24172957694
"result.13",-1013.51756047949,4751.3427230241,8022.7884225871,8912.86389109033,9777.69021778293
"result.14",-4676.42005847368,-2316.93934767283,-614.928286275084,947.083962092156,2319.06170842819
"result.15",620.998810502566,2796.723263474,4104.7475632589,5309.68611263531,6433.84612031352
"result.16",-4298.39963412105,-2543.92846116381,-1254.06019019265,-134.986602053354,1043.64102842671
"result.17",9819.832429645,10177.6872324953,10654.2799502482,11181.1309017988,11709.6507933894
"result.18",-2757.82129800738,447.883506865806,1364.40016772318,2688.2763581792,3949.63623609353
"result.19",-1439.73461838409,497.277380992322,1819.88276638348,3267.86979613351,4508.29486198709
"result.20",1816.54837875403,3286.85631290464,4352.33296984227,5422.59706734235,6312.5459899975
"result.21",-3450.43982511849,-1118.45226662832,107.211100644839,1343.55978334626,2651.16454355151
"result.22",506.741688499609,2083.48672640888,3571.01293795092,4663.2468587685,5642.92093096367
"result.23",3423.42065782287,5390.44252302642,6400.58814543783,7346.95453147175,8180.01506423824
"result.24",-5052.12298283035,-2313.83314214788,-491.038291102908,1003.32611063581,2538.64657400528
"result.25",1403.05821791703,3835.40153002575,4531.2106320121,5297.78048380262,6162.64742378864
"result.26",-629.218010165221,1515.27750684224,3221.0747711908,4657.50290243275,5924.81480894544
"result.27",-4450.9234767856,-2340.61148195613,-709.336006790851,1078.99724254485,2917.37586013455
"result.28",1858.13521179538,3487.29152817048,4692.04089874158,5800.71389272131,6636.45215452261
"result.29",4053.0770645538,5982.50847631634,6918.95072393006,7726.6215730815,8636.67028846562
"result.30",-2680.5596477605,-429.796902971982,1305.83030704313,2881.74324330972,4266.50021168236
"result.31",-607.70970316795,2073.51161739957,3686.78774550976,5231.83416817766,6416.83123433562
"result.32",2211.77541596513,3959.64813947096,5032.77229219346,5993.46949580753,6928.49562549708
"result.33",660.854269765287,5420.76050791218,7288.3541813766,8198.22387008115,9109.87988433999
