"","V1","V2","V3","V4","V5"
"1",-7319.01095138077,-7315.94604584229,-7310.77453968898,-7316.74918613516,-7306.52907616901
"2",-10485.0718383151,-10498.7064554849,-10503.6988945765,-10485.1150274558,-10467.3233468716
"3",-6484.5544020622,-6543.44138443136,-6538.82890916006,-6544.45369817026,-6554.79289853149
"4",-10405.6429166676,-10398.5105541479,-10391.4387698629,-10389.9205751126,-10414.4576421448
"5",-11246.4348487142,-11257.9016278408,-11247.521830665,-11268.991798163,-11251.5348068813
"6",-10023.8284234384,-10082.5580207142,-10103.0895161514,-10093.627024074,-10094.7321189121
"7",-4750.53156232018,-4771.29454947801,-4790.83805838919,-4818.63050086501,-4810.41215920109
"8",-12891.7142490593,-12910.4276803616,-12925.9717777351,-12917.8076661464,-12904.9194723334
"9",-12129.1370270558,-12116.5217116147,-12098.2134705385,-12096.9466862306,-12078.5294156842
"10",-14276.5327338458,-14272.0475117399,-14254.7603425117,-14237.8767657036,-14224.7439627715
"11",-13868.3503597151,-13869.3950053729,-13856.0312391111,-13837.6635949189,-13818.4777734848
"12",-10035.2604744323,-10121.8625955845,-10142.2035864344,-10137.768839985,-10120.7086036613
"13",-5364.83420182194,-5366.10368532286,-5426.88659938621,-5548.80271345298,-5557.06735336174
"14",-15034.2925707021,-15073.2181880397,-15057.7453917746,-15045.6763900619,-15023.520789837
"15",-12952.9796950866,-12969.57448513,-12984.534878887,-12972.4289860038,-12972.370439638
"16",-13781.3460736506,-13792.1705138121,-13801.0584952959,-13797.5493440667,-13791.9423566057
"17",-16181.7843746784,-16179.1984885859,-16163.210474562,-16146.9686993633,-16136.3381841967
"18",-11931.6283718147,-11947.3155460773,-11945.3912114788,-11959.8525043403,-11949.7732385408
"19",-15705.1156455225,-15751.7888804692,-15774.203699594,-15755.4767233941,-15741.2216908688
"20",-11723.464542015,-11797.2625768872,-11831.0909381755,-11825.0994302679,-11819.1394561921
"21",-4474.51531614171,-4578.28925305676,-4597.79901233881,-4616.25253249969,-4609.94686668413
"22",-14180.3944076572,-14227.616705686,-14242.9924994494,-14234.7885617712,-14225.7404118109
"23",-13329.6231074729,-13358.1333834168,-13360.316976932,-13354.9580676258,-13345.3235079034
"24",-12559.3218118992,-12552.0507504136,-12574.9029690878,-12578.3673541233,-12563.658051211
"25",-16411.0473641608,-16388.4724270617,-16376.5464956978,-16364.0887668935,-16345.3115206697
"26",-18248.1071942247,-18242.2945409097,-18219.6028747692,-18203.51397535,-18192.489869085
"27",-14640.0407392558,-14638.0146341744,-14626.5541751745,-14615.7876461526,-14602.511927531
"28",-11430.0165085691,-11429.6991826617,-11434.7875525268,-11426.5388861933,-11406.7049304031
"29",-13761.710003093,-13803.9433546594,-13790.3022039952,-13781.3722110703,-13761.9783523803
"30",-9420.59104204952,-9508.14567339175,-9516.41748457304,-9520.15048829163,-9531.46867802271
"31",-5061.38235636616,-5072.06739788519,-5083.24740544724,-5166.57524752955,-5167.31245254205
"32",-13540.8194757671,-13647.8392226069,-13644.4728651253,-13649.2992920002,-13633.7541667925
"33",-12456.694044748,-12534.9034186676,-12564.3690125114,-12548.5256374254,-12543.0587464311
"34",-12212.0405446931,-12214.9777201724,-12222.0368119967,-12208.6904440797,-12195.5920713779
