"","x"
"1",0.592541141050747
"2",0.327785740790073
"3",0.352786181404169
"4",0.37440914301649
"5",0.326406680113673
"6",0.111702773445786
"7",1
"8",0.231540677880751
"9",0.324647576766432
"10",0.207771857169727
"11",1
"12",0.269485653550795
"13",0.365024780472632
"14",0.225733325732807
"15",0.227297443632244
"16",0.224867899475345
"17",0.165165645159377
"18",0.271295285128933
"19",1
"20",0.21473077308722
"21",0.517583870030364
"22",0.19740371102526
"23",0.211312561773967
"24",1
"25",0.179891173087334
"26",0.11804818000344
"27",0.117174886625003
"28",1
"29",0.229678843488607
"30",0.347319778025475
"31",0.361484385171285
"32",0.251116430475585
"33",0.21324831200973
"34",1
"35",0.210397781636375
"36",0.144512257746996
"37",0.101271252985369
"38",0.170311148101423
"39",0.199467504317774
"40",0.218507375255128
"41",0.254595113666495
"42",0.220620975533041
"43",0.334342556109178
"44",0.191452508844121
"45",0.228523553330765
"46",0.227289033232722
"47",0.224055630302067
"48",0.147055627054502
"49",0.114627797025462
"50",1
"51",0.121212203622029
"52",1
"53",0.177182663243213
"54",1
"55",1
"56",0.220815840422262
"57",0.279320390843874
"58",0.213718753939486
"59",0.186684313077808
"60",0.164239642123137
"61",0.181869403649708
"62",1
"63",0.102331281476158
"64",0.102442916367525
"65",0.0768437619953478
"66",1
"67",1
"68",0.138086116421309
"69",0.14112840331939
"70",0.139929978412217
"71",1
"72",0.180436118756304
"73",0.26484299615102
"74",0.182732234775723
"75",1
"76",1
"77",0.135445070466639
"78",1
"79",0.124386049788871
"80",0.0989429251212689
"81",0.073646745659847
"82",0.0683041372824921
"83",1
"84",1
"85",1
"86",0.106269863089192
"87",1
"88",1
"89",0.136203956316643
"90",0.103220082618205
"91",0.202864588922122
"92",0.191747951088023
"93",1
"94",1
"95",1
"96",0.101986516393289
"97",1
"98",0.0986394040367603
"99",0.0864446665954628
"100",0.0621240903647
"101",1
"102",0.067622638960813
"103",1
"104",1
"105",0.0870432212853409
"106",1
"107",0.102956866306041
"108",0.130246679651443
"109",0.154550111920551
"110",0.13377467742416
"111",0.212751941466671
"112",0.16571054797936
"113",0.182767593898936
"114",0.137598282337886
"115",0.119602196108154
"116",0.101517904277554
"117",1
"118",1
"119",1
"120",1
"121",0.0537539801350912
"122",1
"123",0.0607719159943957
"124",1
"125",1
"126",1
"127",0.101520942515094
"128",0.0974055989383177
"129",0.10206113036827
"130",1
"131",1
"132",0.131160859272926
"133",0.19587334375423
"134",1
"135",0.138802932934996
"136",0.102098624714067
"137",0.102637414216074
"138",1
"139",1
"140",0.0752170909293988
"141",1
"142",0.0700777499137854
"143",0.0603606651454176
"144",0.0463923632837208
"145",1
"146",0.10271636039424
"147",0.0581461655598725
"148",1
"149",0.0612614785275384
"150",1
"151",1
"152",0.0792770699612448
"153",1
"154",1
"155",0.12591919965026
"156",0.110486226789382
"157",0.193445885309465
"158",1
"159",1
"160",1
"161",1
"162",0.0843692423608071
"163",1
"164",1
"165",1
"166",1
"167",0.0571384316998233
"168",1
"169",1
"170",0.0413995610497158
"171",1
"172",1
"173",0.0569505984957767
"174",1
"175",1
"176",1
"177",1
"178",0.0766477750048779
"179",1
"180",0.0987732761638838
"181",0.10225798447772
"182",0.100788768769479
