"","x"
"result.1",3.18248709905749
"result.2",3.18249718922182
"result.3",3.18249183655675
"result.4",3.18248619015964
"result.5",3.1824979753091
"result.6",3.18250168078936
"result.7",3.18248489423909
"result.8",3.18249176107641
"result.9",3.18249306876353
"result.10",3.18248567249406
"result.11",3.18247406437644
"result.12",3.18248078416319
"result.13",3.18248526334808
"result.14",3.18247359352489
"result.15",3.18248550167814
"result.16",3.18247962228007
"result.17",3.18254022297749
"result.18",3.18266342093341
"result.19",3.18278611037801
"result.20",3.18280094584563
"result.21",3.1827932252674
"result.22",3.18280835166885
"result.23",3.1828111773619
"result.24",3.18280582748269
"result.25",3.18282294348193
"result.26",3.1828331209049
"result.27",3.18281771213517
"result.28",3.18283060151358
"result.29",3.18282992574219
"result.30",3.18284003621001
"result.31",3.18283977419157
"result.32",3.18282222428988
"result.33",3.18283814300297
"result.34",3.18276923429257
"result.35",3.18277104555894
"result.36",3.18274333170731
"result.37",3.18274763444534
"result.38",3.18277558352326
"result.39",3.18277415902991
"result.40",3.18275347308996
"result.41",3.18277858770221
"result.42",3.18278081994033
"result.43",3.18277393891313
"result.44",3.18277899402841
"result.45",3.18275336592529
"result.46",3.18279658654129
"result.47",3.18278731046655
"result.48",3.18277590370766
"result.49",3.18279458839007
"result.50",3.18280998037593
"result.51",3.18279082669132
"result.52",3.18279729191503
"result.53",3.18281395008103
"result.54",3.18279813790584
"result.55",3.18280751326863
"result.56",3.18280449453974
"result.57",3.1828073083473
"result.58",3.18280231772448
"result.59",3.18279293188909
"result.60",3.18279889293374
"result.61",3.18279396157701
"result.62",3.18278923458665
"result.63",3.18280833427802
"result.64",3.18281408051409
"result.65",3.18281739210836
"result.66",3.18278950123232
"result.67",3.18280690681385
"result.68",3.18280836607534
"result.69",3.18281101844296
"result.70",3.18277370738191
"result.71",3.18279577567366
"result.72",3.18276858809792
"result.73",3.18280863567905
"result.74",3.18279911180832
"result.75",3.1827948401066
"result.76",3.18276679305729
"result.77",3.18279293947458
"result.78",3.1827878411735
"result.79",3.18278543198923
"result.80",3.18278146034064
"result.81",3.18278326615319
"result.82",3.18278759413726
"result.83",3.18278431247916
"result.84",3.18278805677376
"result.85",3.1827866859458
"result.86",3.1827999991702
"result.87",3.1827611345547
"result.88",3.18278528739384
"result.89",3.1827985061004
"result.90",3.1827886018193
"result.91",3.18277144086077
"result.92",3.18278402873383
"result.93",3.18277974988286
"result.94",3.18278580589751
"result.95",3.18277650447039
"result.96",3.18278016184115
"result.97",3.18278997326785
"result.98",3.18279060079259
"result.99",3.18278558628743
"result.100",3.18276219719527
"result.101",3.18275843216618
"result.102",3.1828757642924
"result.103",3.18282756400578
"result.104",3.18284518954369
"result.105",3.18285213510122
"result.106",3.18284299334454
"result.107",3.18284667511748
"result.108",3.18284951012108
"result.109",3.18286808648977
"result.110",3.18285355057326
"result.111",3.18285538463106
"result.112",3.18285831462069
"result.113",3.18285399356563
"result.114",3.18285598936268
"result.115",3.18285015335616
"result.116",3.182853628754
"result.117",3.18285354384074
"result.118",3.18285699159101
"result.119",3.18284438509193
"result.120",3.18284708733998
"result.121",3.18284937857754
"result.122",3.18284845256888
"result.123",3.18282384769089
"result.124",3.18282319396995
"result.125",3.18285262944228
"result.126",3.18284684375065
"result.127",3.18282397783191
"result.128",3.18283360967825
"result.129",3.18282158733805
"result.130",3.1828223169976
"result.131",3.18282704835054
"result.132",3.18281897151371
"result.133",3.18281286682759
"result.134",3.18281231706475
"result.135",3.18288746933795
"result.136",3.182894594858
"result.137",3.18290956919989
"result.138",3.18280051548606
"result.139",3.1827782834818
"result.140",3.18285644294594
"result.141",3.18281515109976
"result.142",3.18282001372176
"result.143",3.18280571363216
"result.144",3.18280966200774
"result.145",3.18281606916955
"result.146",3.18278892601275
"result.147",3.18278790233297
"result.148",3.18278222356433
"result.149",3.18277154880102
"result.150",3.18279022023216
"result.151",3.18280277414137
"result.152",3.18278385310554
"result.153",3.18277790923912
"result.154",3.18278755000547
"result.155",3.18278175349272
"result.156",3.18277715051585
"result.157",3.18277607176319
"result.158",3.18274660951856
"result.159",3.18277046577884
"result.160",3.1827572173269
"result.161",3.18277518670902
"result.162",3.18276522968261
"result.163",3.18277994463669
"result.164",3.18278004909228
"result.165",3.18275708151576
"result.166",3.18276631140095
"result.167",3.18273155021091
"result.168",3.18274604802703
"result.169",3.18273337373837
"result.170",3.18274540094388
"result.171",3.18272940584231
"result.172",3.18273220043176
"result.173",3.18273483337205
"result.174",3.18273739030035
"result.175",3.18272976277322
"result.176",3.1827245055242
"result.177",3.18271052431523
"result.178",3.18268661273173
"result.179",3.1826950268398
"result.180",3.18269373078957
"result.181",3.18267509562227
"result.182",3.18268175441906
"result.183",3.18264432338316
"result.184",3.18263102504892
"result.185",3.18260588181781
"result.186",3.18255847582988
"result.187",3.18251916822197
"result.188",3.18251991169658
"result.189",3.18249846916383
"result.190",3.18248625288741
"result.191",3.18247995272999
"result.192",3.18248983557828
"result.193",3.18248422021397
"result.194",3.18250317084101
"result.195",3.18250422423067
"result.196",3.18250768550021
"result.197",3.18252546679885
"result.198",3.1825251285331
"result.199",3.18249244003156
"result.200",3.18250968362817
"result.201",3.18250916882004
"result.202",3.18251988088075
"result.203",3.18250581337907
"result.204",3.1825067778451
"result.205",3.18249866396611
"result.206",3.18252269941314
"result.207",3.18250653438173
"result.208",3.18250372510194
"result.209",3.18251055905627
"result.210",3.18251262055513
"result.211",3.18250538095736
"result.212",3.18250284406414
"result.213",3.18251736787788
"result.214",3.1825010976639
"result.215",3.18250062452738
"result.216",3.18249858690999
"result.217",3.1825212030421
"result.218",3.18250398733819
"result.219",3.18250887046092
"result.220",3.18249678148857
"result.221",3.18249143771065
"result.222",3.18249626833801
