"","x"
"1",2.28705943072782e-14
"2",2.28705943072782e-14
"3",2.28705943072782e-14
"4",2.28705943072782e-14
"5",2.28705943072782e-14
"6",2.28705943072782e-14
"7",2.27595720048157e-14
"8",2.27595720048157e-14
"9",2.27595720048157e-14
"10",2.27595720048157e-14
"11",2.27595720048157e-14
"12",2.28705943072782e-14
"13",2.28705943072782e-14
"14",2.28705943072782e-14
"15",2.28705943072782e-14
"16",2.28705943072782e-14
"17",2.27595720048157e-14
"18",2.23154827949656e-14
"19",2.19824158875781e-14
"20",2.18713935851156e-14
"21",2.17603712826531e-14
"22",2.17603712826531e-14
"23",2.17603712826531e-14
"24",2.17603712826531e-14
"25",2.17603712826531e-14
"26",2.17603712826531e-14
"27",2.16493489801906e-14
"28",2.16493489801906e-14
"29",2.16493489801906e-14
"30",2.16493489801906e-14
"31",2.1538326677728e-14
"32",2.16493489801906e-14
"33",2.1538326677728e-14
"34",2.1538326677728e-14
"35",2.1538326677728e-14
"36",2.1538326677728e-14
"37",2.1538326677728e-14
"38",2.1538326677728e-14
"39",2.1538326677728e-14
"40",2.14273043752655e-14
"41",2.14273043752655e-14
"42",2.14273043752655e-14
"43",2.1538326677728e-14
"44",2.1538326677728e-14
"45",2.14273043752655e-14
"46",2.14273043752655e-14
"47",2.14273043752655e-14
"48",2.14273043752655e-14
"49",2.14273043752655e-14
"50",2.14273043752655e-14
"51",2.14273043752655e-14
"52",2.1538326677728e-14
"53",2.14273043752655e-14
"54",2.14273043752655e-14
"55",2.14273043752655e-14
"56",2.14273043752655e-14
"57",2.14273043752655e-14
"58",2.14273043752655e-14
"59",2.14273043752655e-14
"60",2.14273043752655e-14
"61",2.14273043752655e-14
"62",2.14273043752655e-14
"63",2.14273043752655e-14
"64",2.14273043752655e-14
"65",2.14273043752655e-14
"66",2.14273043752655e-14
"67",2.14273043752655e-14
"68",2.14273043752655e-14
"69",2.14273043752655e-14
"70",2.14273043752655e-14
"71",2.14273043752655e-14
"72",2.14273043752655e-14
"73",2.14273043752655e-14
"74",2.14273043752655e-14
"75",2.14273043752655e-14
"76",2.14273043752655e-14
"77",2.14273043752655e-14
"78",2.14273043752655e-14
"79",2.14273043752655e-14
"80",2.14273043752655e-14
"81",2.14273043752655e-14
"82",2.14273043752655e-14
"83",2.1538326677728e-14
"84",2.14273043752655e-14
"85",2.14273043752655e-14
"86",2.14273043752655e-14
"87",2.14273043752655e-14
"88",2.14273043752655e-14
"89",2.14273043752655e-14
"90",2.14273043752655e-14
"91",2.14273043752655e-14
"92",2.14273043752655e-14
"93",2.14273043752655e-14
"94",2.14273043752655e-14
"95",2.14273043752655e-14
"96",2.1538326677728e-14
"97",2.1538326677728e-14
"98",2.1538326677728e-14
"99",2.1538326677728e-14
"100",2.1538326677728e-14
"101",2.14273043752655e-14
"102",2.1316282072803e-14
"103",2.1094237467878e-14
"104",2.08721928629529e-14
"105",2.07611705604904e-14
